dataset,metric,Bridge (curated),Bridge (uncurated),delta
CCRCC,image_transcriptome/f1_macroAvg,9.910294238579809e-07,0.0,9.910294238579809e-07
COAD,image_transcriptome/f1_macroAvg,0.0,0.0,0.0
HCC,image_transcriptome/f1_macroAvg,9.604702881915728e-07,1.5930629615468209e-07,8.011639920368907e-07
IDC,image_transcriptome/f1_macroAvg,7.451564698612857e-08,1.6666666851961054e-05,-1.6592151204974925e-05
LUNG,image_transcriptome/f1_macroAvg,1.9070503185503185e-05,0.0,1.9070503185503185e-05
LYMPH_IDC,image_transcriptome/f1_macroAvg,1.857866664067842e-05,5.891909040656174e-07,1.7989475736612803e-05
PAAD,image_transcriptome/f1_macroAvg,0.0,1.6903313735383563e-05,-1.6903313735383563e-05
PRAD,image_transcriptome/f1_macroAvg,2.339975617360324e-05,8.534732842235826e-06,1.4865023331367414e-05
READ,image_transcriptome/f1_macroAvg,3.8096442267487873e-07,7.278182465597638e-07,-3.4685382388488506e-07
SKCM,image_transcriptome/f1_macroAvg,2.9202628866187297e-05,3.190857023582794e-05,-2.705941369640641e-06
CCRCC,image_transcriptome/rocauc_macroAvg,0.702584981918335,0.6658666729927063,0.03671830892562866
COAD,image_transcriptome/rocauc_macroAvg,0.5474727153778076,0.5239419341087341,0.023530781269073486
HCC,image_transcriptome/rocauc_macroAvg,0.4792284369468689,0.5134910345077515,-0.03426259756088257
IDC,image_transcriptome/rocauc_macroAvg,0.515788733959198,0.4999269545078277,0.015861779451370295
LUNG,image_transcriptome/rocauc_macroAvg,0.5454421639442444,0.5200867056846619,0.02535545825958252
LYMPH_IDC,image_transcriptome/rocauc_macroAvg,0.6830148100852966,0.663649320602417,0.01936548948287964
PAAD,image_transcriptome/rocauc_macroAvg,0.5463169813156128,0.4995594918727875,0.04675748944282532
PRAD,image_transcriptome/rocauc_macroAvg,0.761141300201416,0.7315245866775513,0.029616713523864746
READ,image_transcriptome/rocauc_macroAvg,0.7329868674278259,0.7141106128692627,0.018876254558563232
SKCM,image_transcriptome/rocauc_macroAvg,0.5653776526451111,0.5404505133628845,0.024927139282226562
CCRCC,transcriptome_image/f1_macroAvg,3.6057692796021e-06,1.2886283002444545e-05,-9.280513722842444e-06
COAD,transcriptome_image/f1_macroAvg,8.714084287930746e-06,5.26612325302267e-07,8.187471962628479e-06
HCC,transcriptome_image/f1_macroAvg,0.0002957140968646,3.284509512013756e-05,0.0002628690017444624
IDC,transcriptome_image/f1_macroAvg,2.499999936844688e-05,6.849314786450122e-07,2.4315067889801867e-05
LUNG,transcriptome_image/f1_macroAvg,0.0,4.251386371834087e-07,-4.251386371834087e-07
LYMPH_IDC,transcriptome_image/f1_macroAvg,2.3751488697598688e-05,4.805914954886248e-07,2.3270897202110064e-05
PAAD,transcriptome_image/f1_macroAvg,4.431793058756739e-06,1.5805695511517115e-05,-1.1373902452760376e-05
PRAD,transcriptome_image/f1_macroAvg,5.975022213533521e-05,1.3869626513951516e-07,5.961152587019569e-05
READ,transcriptome_image/f1_macroAvg,5.552106813411228e-06,0.0,5.552106813411228e-06
SKCM,transcriptome_image/f1_macroAvg,0.0,7.314101821975783e-05,-7.314101821975783e-05
CCRCC,transcriptome_image/rocauc_macroAvg,0.679499089717865,0.6563716530799866,0.023127436637878418
COAD,transcriptome_image/rocauc_macroAvg,0.5432586073875427,0.5226784944534302,0.02058011293411255
HCC,transcriptome_image/rocauc_macroAvg,0.4827178418636322,0.521003007888794,-0.03828516602516174
IDC,transcriptome_image/rocauc_macroAvg,0.5184782147407532,0.503334641456604,0.01514357328414917
LUNG,transcriptome_image/rocauc_macroAvg,0.5426693558692932,0.5199074149131775,0.022761940956115723
LYMPH_IDC,transcriptome_image/rocauc_macroAvg,0.6966387033462524,0.6789736747741699,0.01766502857208252
PAAD,transcriptome_image/rocauc_macroAvg,0.5437499284744263,0.5005125403404236,0.043237388134002686
PRAD,transcriptome_image/rocauc_macroAvg,0.7560195922851562,0.7350543737411499,0.020965218544006348
READ,transcriptome_image/rocauc_macroAvg,0.729158341884613,0.7168864011764526,0.0122719407081604
SKCM,transcriptome_image/rocauc_macroAvg,0.5710127353668213,0.5494351387023926,0.02157759666442871
