source_image,spot_id,Background,B cells,Macrophages/Monocytes,Adipocytes,Dendritic cells,T cells,Granulocytes,NK cells,Nerves,Plasma cells,Smooth muscle,Stroma,Tumor cells,Vasculature/Lymphatics,Other cells
reg001_A_patch.tiff,patch_0,6.0198593,-8.760049,12.16286,-2.4011972,-7.8346753,-5.031858,0.5327514,3.111416,-4.118069,-11.043408,-3.1439822,-14.358165,7.380798,-1.3743382,1.1223155
reg001_A_patch.tiff,patch_1,16.260876,-10.036352,16.162947,-10.764708,-7.0691366,-9.722523,7.4292564,2.0827994,2.415463,-8.643127,-0.46702406,-12.121291,8.754022,0.9743864,4.606348
reg001_A_patch.tiff,patch_2,19.165203,-9.877114,14.146007,-7.766055,-8.519422,-4.9659224,5.1386867,-0.09460712,2.0158653,-3.9270952,6.6267757,-9.505399,11.203957,2.4335816,3.155897
reg001_A_patch.tiff,patch_3,16.62965,-6.4819617,11.012276,-6.2676067,-11.4256,-4.580868,1.5108191,3.0641809,1.1417037,-4.0875373,-1.3184695,-7.359466,9.980383,-0.843808,2.1209514
reg001_A_patch.tiff,patch_4,18.5268,-4.7996902,11.005475,-1.2963564,-7.294334,-1.5355611,7.7841196,5.1092978,5.7928166,-0.4045716,1.5794449,-6.903954,14.19937,3.096673,4.920577
reg001_A_patch.tiff,patch_5,10.4531,-14.516334,8.974611,-9.066824,-6.5755696,-11.076021,4.511675,-2.3326674,3.3422053,2.1388001,5.0488987,-14.908629,6.5228148,-5.5041175,-0.5464815
reg001_A_patch.tiff,patch_6,10.605323,-9.224896,7.2274804,-8.606008,-6.1645575,-11.721184,2.6008193,-1.1585364,3.2960198,3.2752373,7.663344,-15.004442,4.6997266,-4.9621844,-3.0979042
reg001_A_patch.tiff,patch_7,16.351156,-7.817022,13.0063095,1.0117818,-12.414104,-12.141546,-1.5830731,-3.2467005,1.5043949,-6.9291086,3.2444463,-7.672342,3.6219578,1.9987097,-6.9409494
reg001_A_patch.tiff,patch_8,18.180084,-7.116352,12.659814,3.7212446,-7.9246745,-9.28058,1.001599,-7.69496,8.38042,4.2623615,6.2211027,-7.3349786,7.6048355,1.397254,-3.0218022
reg001_A_patch.tiff,patch_9,15.622472,-5.4524064,12.70851,-4.484895,-5.8190427,-5.9354725,4.2732487,2.01774,5.4406385,-7.103248,-3.7276642,-7.875566,8.385644,4.4053555,0.8855264
reg001_A_patch.tiff,patch_10,8.439441,-16.364391,-2.7833378,-4.784457,-5.9042945,-12.987013,-0.08584625,-5.407539,9.183317,3.126865,12.72722,-9.01717,3.010617,-3.3210552,3.231642
reg001_A_patch.tiff,patch_11,9.453716,-12.739606,4.5313706,-11.918447,-8.599762,-10.456388,4.067021,-1.4342375,4.38983,-0.6027924,4.110717,-14.109692,6.29029,-4.950913,2.5968964
reg001_A_patch.tiff,patch_12,12.957171,-14.416189,3.0594163,-11.545939,-6.2318892,-9.370224,0.48458484,-1.9112322,-3.3121367,-4.497081,8.897689,-14.642722,12.256328,-6.908031,1.7310776
reg001_A_patch.tiff,patch_13,16.495173,-7.076082,14.40166,-3.8830683,-6.971126,-8.451486,11.155725,-1.226506,8.848812,2.7499986,3.7703013,-9.864356,7.0087237,-0.8701265,-2.7027187
reg001_A_patch.tiff,patch_14,18.854343,-2.9875457,13.030502,-2.1209226,-4.887696,-4.2021613,1.4535395,-0.7096291,7.8014708,-0.10111249,8.094703,-4.463681,9.527939,5.3659754,-5.088547
reg001_A_patch.tiff,patch_15,16.946049,-7.7573524,15.715699,-2.9215746,-5.63822,-10.872817,6.4116397,1.26583,7.6737103,-2.7686372,-1.6909258,-7.5415363,3.1023932,1.6028084,2.5037615
reg001_A_patch.tiff,patch_16,10.378763,-14.355733,-3.6644337,-8.196037,-5.209718,-6.901678,-0.2722822,-3.4452906,9.143213,3.4857752,18.989006,-8.457914,9.539589,-2.7245853,6.5948367
reg001_A_patch.tiff,patch_17,10.486723,-12.271211,-4.031401,-8.687143,-6.3241615,-8.600346,1.4663084,-1.8851041,7.6283593,6.301553,15.449773,-7.892234,8.006656,-3.9203591,3.169155
reg001_A_patch.tiff,patch_18,13.545885,-12.949336,6.074843,-10.3227005,-5.617966,-11.1361885,4.878459,0.12216929,0.32812026,1.4415132,7.088251,-13.660137,7.2693906,-7.3732967,3.1275537
reg001_A_patch.tiff,patch_19,13.424466,-15.233999,2.4987175,-10.200179,-7.646797,-11.787353,1.9328256,-2.7483473,3.7199588,0.35633656,11.226613,-12.040289,8.435012,-5.871991,1.1435
reg001_A_patch.tiff,patch_20,15.14265,-18.08811,2.750516,-8.903977,-5.0850735,-16.033628,-2.7001228,-4.8880315,0.9731133,-5.437812,7.116662,-9.429763,9.640107,-3.3683002,-2.561569
reg001_A_patch.tiff,patch_21,20.072582,-10.116761,16.568605,-0.28882965,-4.611447,-14.250287,4.233454,-4.9176683,6.9611,0.42631713,8.42948,-5.4382515,6.5462594,4.027205,-1.3401985
reg001_A_patch.tiff,patch_22,13.980967,-13.068432,8.294904,-1.5235586,-8.668457,-13.418144,-2.2924907,-2.283147,3.326823,-2.7936406,6.7504683,-7.6789126,7.7504067,-1.3767345,-3.129945
reg001_A_patch.tiff,patch_23,12.7702675,-17.031471,-1.7137512,-3.3560443,-6.4796453,-15.1398735,-0.9386135,-6.850403,4.094704,6.176362,12.692125,-6.402996,6.8144155,-3.6530473,3.1671915
reg001_A_patch.tiff,patch_24,8.236332,-13.056064,-0.12546617,-12.50918,-7.265627,-8.661994,1.471046,-1.7527469,5.84484,-2.1546564,4.6040626,-13.460448,4.2151785,-7.4748225,5.516928
reg001_A_patch.tiff,patch_25,13.791683,-17.082092,2.850895,-10.28913,-5.2478256,-13.951093,2.2724183,-2.7336073,-1.264813,-0.2976053,11.129909,-15.04102,6.8696475,-5.315363,0.37073755
reg001_A_patch.tiff,patch_26,11.594922,-12.22052,6.3155875,-12.1777115,-6.0426135,-11.625684,4.1775413,-0.30498868,2.5664783,-0.5658297,9.426346,-12.940321,5.473417,0.30364206,-0.6417601
reg001_A_patch.tiff,patch_27,10.797018,-12.267229,7.5130725,-8.537914,-8.132777,-11.1097355,0.41219562,-2.848271,0.34510943,-2.6297503,4.7453327,-16.897257,7.6947703,-4.845866,-2.4917336
reg001_A_patch.tiff,patch_28,16.478474,-11.148313,8.314802,-0.6608806,-10.423119,-12.345877,1.787018,-5.437434,6.1088758,-1.3214897,-0.17542379,-6.369607,5.673541,-1.873361,-3.5651581
reg001_A_patch.tiff,patch_29,15.191325,-6.9480104,10.363429,0.87873054,-7.0112915,-9.573102,4.4720235,-5.151749,11.689193,-1.0932559,5.9844565,-6.2002277,5.5975146,-2.4482217,2.3251479
reg001_A_patch.tiff,patch_30,19.199902,-7.712576,13.2047615,-2.4272459,-10.37058,-9.727794,4.562085,-5.0648856,8.616874,-2.7139869,2.6820912,-8.918585,3.6261954,-0.26769114,0.35180563
reg001_A_patch.tiff,patch_31,15.756442,-12.155746,9.302853,-5.5460973,-7.1004434,-11.979316,3.1901429,-5.7310143,8.225801,0.85705763,13.07906,-7.271399,9.594996,-2.342662,-0.54363
reg001_A_patch.tiff,patch_32,10.447053,-14.078324,5.879341,-13.121005,-7.0684667,-12.474331,6.149257,0.1027577,0.60725737,-2.131982,5.062808,-16.361841,5.555192,-6.028079,2.040694
reg001_A_patch.tiff,patch_33,11.711989,-14.302933,5.625863,-10.635198,-5.326241,-10.733033,0.25310034,-0.7912915,0.1481016,0.052754465,8.43548,-16.025116,9.184544,-6.092461,-0.4821189
reg001_A_patch.tiff,patch_34,10.314366,1.2314459,10.187614,-6.290433,-2.2064805,-4.108871,8.569363,11.756588,-0.22926767,7.7104917,-0.33058944,-0.62324953,7.1633916,-0.18658689,1.3731526
reg001_A_patch.tiff,patch_35,10.594163,-5.4318714,7.0253944,-13.366414,-5.394733,-4.3985605,4.433115,7.012156,-2.9170496,2.9947374,0.8534431,-8.121383,9.791455,-0.8915771,4.331455
