source_image,spot_id,A sample of Background cells,A sample of B cells,A sample of Macrophages/Monocytes cells,A sample of Adipocytes cells,A sample of Dendritic cells,A sample of T cells,A sample of Granulocytes cells,A sample of NK cells,A sample of Nerves cells,A sample of Plasma cells,A sample of Smooth muscle cells,A sample of Stroma cells,A sample of Tumor cells,A sample of Vasculature/Lymphatics cells,A sample of Other cells
reg001_A_patch.tiff,patch_0,13.139014,-2.528535,22.209263,4.603821,11.531137,4.27002,18.84994,18.855398,11.596323,-5.298157,4.186834,7.1257086,4.846059,3.637739,9.092309
reg001_A_patch.tiff,patch_1,11.838479,-3.2207434,18.017729,-5.500724,12.691703,-1.0337794,11.705382,8.716306,12.580965,-8.726904,0.20445046,6.303123,11.344947,4.1850204,14.800899
reg001_A_patch.tiff,patch_2,22.385983,-5.969186,19.806957,1.5997535,12.457448,0.6073816,13.778453,12.492773,18.311314,-1.9565593,10.068723,15.313309,13.696599,7.7713947,17.213081
reg001_A_patch.tiff,patch_3,13.231603,-4.2147784,20.948435,2.9914498,7.663601,5.9766912,12.201268,15.355536,14.225559,-2.7865531,5.502869,8.659176,4.364026,3.848095,8.67531
reg001_A_patch.tiff,patch_4,13.379496,-2.512063,14.467283,0.7582833,5.8238306,4.8470635,10.35417,14.418255,17.507542,-2.3309114,8.571473,6.968044,6.5090146,0.58384097,9.375858
reg001_A_patch.tiff,patch_5,15.30307,-2.3143244,10.28438,-5.667635,8.666821,0.69540435,3.9183662,9.331642,16.519466,1.7755202,4.7046337,6.035385,5.0968633,-3.301101,8.923055
reg001_A_patch.tiff,patch_6,16.408247,1.7957622,10.660486,-6.0085773,8.604259,2.4392312,5.3149505,13.509793,18.324318,5.1980968,1.374879,6.2127337,5.672519,-0.99392074,6.6390376
reg001_A_patch.tiff,patch_7,10.4984255,-6.3860154,13.919975,1.0447501,4.323487,-9.147497,7.2464294,8.163695,7.851208,-3.9589858,0.535731,3.2273548,0.9311864,3.7760682,9.103299
reg001_A_patch.tiff,patch_8,12.135186,-1.6728545,11.668917,0.21978912,2.844564,-4.8035245,8.611434,8.755246,16.995604,2.161093,0.7607583,1.9721196,8.104489,3.6708639,9.100451
reg001_A_patch.tiff,patch_9,10.304423,-3.7686543,19.401196,4.36889,3.5389555,6.8746066,9.99487,12.174192,17.14022,-3.5841272,7.3037186,10.002385,5.533434,6.832243,6.8450465
reg001_A_patch.tiff,patch_10,12.766263,-5.535067,3.8013225,0.7941379,6.363428,0.89497435,-1.4604938,8.839887,17.088802,0.16979706,13.68793,10.618,3.2491028,-5.241614,5.5662313
reg001_A_patch.tiff,patch_11,17.911928,0.24834907,10.287809,-5.81633,7.2328362,3.9625154,4.752319,8.707755,17.285566,-1.8436852,2.4893918,8.6079235,7.3153124,-2.606004,8.246122
reg001_A_patch.tiff,patch_12,18.627455,-5.7629724,7.9730825,-6.6032987,7.0694823,-0.33270043,1.5139749,9.861887,14.669927,-5.1742477,5.1552725,10.491451,9.045064,-5.1805124,8.422773
reg001_A_patch.tiff,patch_13,14.918143,0.28668308,12.154139,-5.6145587,9.985566,-2.6278956,10.983312,9.580107,21.25888,3.2930849,0.3892108,5.458367,13.452885,2.237043,11.87708
reg001_A_patch.tiff,patch_14,15.174631,-2.6905107,14.553737,0.95102596,6.199562,-1.3223668,6.910902,9.732727,19.537506,1.4424498,10.804054,11.296682,9.408427,6.74911,9.407386
reg001_A_patch.tiff,patch_15,16.083427,-1.0036759,18.798037,2.39782,10.995731,4.9537053,10.966952,14.100608,15.790744,-1.6758982,6.442605,11.258719,4.487179,3.3113801,11.697429
reg001_A_patch.tiff,patch_16,14.853823,-7.9906707,2.1959815,-3.6386588,5.323928,0.2754604,-3.935034,6.4345655,19.694126,-1.9298786,12.961769,11.800007,8.472692,-5.6684003,6.2798624
reg001_A_patch.tiff,patch_17,13.043084,-3.1533053,3.7745664,-4.1495714,1.4392432,2.9728553,-5.2566905,7.226496,15.996612,3.136081,8.019045,7.9848495,6.531102,-6.9969664,3.242141
reg001_A_patch.tiff,patch_18,17.020369,-1.6084522,9.876574,-6.5524487,10.541644,2.8247015,5.6930404,13.453797,16.513893,-0.061541203,3.6833677,8.194819,7.1765876,-6.432596,8.641298
reg001_A_patch.tiff,patch_19,18.841105,-6.365478,6.263869,-6.593797,7.838726,-1.3490028,0.9765935,10.659301,18.851667,-1.0185653,5.6405272,11.225037,8.856716,-2.7738812,9.097136
reg001_A_patch.tiff,patch_20,18.572811,-9.050075,6.9056807,-3.7538712,7.969838,-2.231266,0.10343757,11.077447,13.897569,-3.4929588,6.9399962,12.994526,9.076967,-1.5746158,6.142254
reg001_A_patch.tiff,patch_21,17.519474,-0.9030771,13.320112,-2.395785,10.609746,-4.5658298,10.432533,12.101671,15.741389,-1.1522919,4.423169,8.757348,11.1257105,5.0928364,14.200716
reg001_A_patch.tiff,patch_22,17.13312,-4.634275,11.554966,3.4399369,7.8631496,-1.2869381,9.169858,14.219887,15.463776,-0.70136815,9.671781,13.062403,7.1458282,2.1007738,9.748091
reg001_A_patch.tiff,patch_23,10.896347,-8.351758,0.31463438,-1.2364912,-0.7504084,-3.061902,-3.236501,5.7734585,8.896032,1.2100695,5.0290027,5.0458245,3.564994,-6.103203,3.5008945
reg001_A_patch.tiff,patch_24,7.882623,-3.6206434,5.8659606,-8.413512,5.042925,2.3449976,-0.828039,6.434927,12.708305,-7.296551,0.89104164,2.8869846,5.4570847,-9.370419,6.1490555
reg001_A_patch.tiff,patch_25,15.948771,-3.7803662,5.2762437,-8.784397,7.6361127,-0.42013335,1.5032582,12.800641,14.914687,-1.1669841,3.4902575,6.642328,7.5491605,-7.6755476,6.311092
reg001_A_patch.tiff,patch_26,16.616459,-2.3571448,11.840213,-5.774007,8.504206,3.8797836,6.142031,17.335718,18.018778,0.94570154,5.7038555,9.585631,5.209655,0.6002251,6.2615104
reg001_A_patch.tiff,patch_27,12.526903,-0.65621537,15.818163,-5.073382,4.5713196,3.0474317,4.2018857,12.47096,16.107216,1.2471421,2.7858713,3.1246285,5.120552,-4.8338056,2.3329668
reg001_A_patch.tiff,patch_28,13.609448,-7.4248133,9.455637,0.83361596,1.5434679,-2.5226407,5.229732,6.9171515,14.323294,-2.4551656,4.5184,8.316438,3.7469432,0.07628717,7.833693
reg001_A_patch.tiff,patch_29,11.730828,-1.2358724,7.9056497,-5.316701,10.391773,-6.5767727,6.1051407,1.369236,16.415651,-4.755272,4.69255,3.8952982,12.629501,-5.533522,14.975726
reg001_A_patch.tiff,patch_30,17.493105,-6.1544013,14.452855,-3.6684763,4.3998413,-4.7171316,6.731326,4.3829355,16.734133,-5.9344344,1.9225339,7.5131726,5.7823086,-0.102065906,13.532692
reg001_A_patch.tiff,patch_31,16.290434,-4.867381,9.057178,-5.1113796,11.942035,-8.036792,3.5354671,7.6926737,19.413637,0.4098727,8.117395,9.856818,12.976883,2.3310134,15.131568
