source_image,spot_id,Neutrophil,Epithelial,Lymphocyte,Plasma,Eosinophil,Connective tissue
crag_11_patch.tiff,patch_0,6.669492,-0.5181294,0.29614517,7.429767,11.691649,0.29088804
crag_11_patch.tiff,patch_1,5.1000767,-1.205573,-0.32777727,7.737121,11.524257,1.2381501
crag_11_patch.tiff,patch_2,-0.6176965,4.7911386,-5.9077754,2.4033077,2.753445,3.8265111
crag_11_patch.tiff,patch_3,4.1921263,-0.54255795,-0.28696546,2.1533988,9.630245,1.9178425
crag_11_patch.tiff,patch_4,4.4088683,0.1762871,2.0079257,5.906968,8.808456,3.4498005
crag_11_patch.tiff,patch_5,5.6687255,1.4689916,0.27827656,4.28719,11.0907,9.621431
crag_11_patch.tiff,patch_6,3.110524,-1.7808973,-2.7484758,6.446831,8.323363,-1.4550653
crag_11_patch.tiff,patch_7,0.8238579,2.1425593,-6.861303,4.9348383,7.997749,2.4312167
crag_11_patch.tiff,patch_8,3.040495,1.2729574,-2.720219,5.4565253,10.841657,1.6137398
crag_11_patch.tiff,patch_9,-0.01096095,5.3150187,-7.0995903,2.2011359,4.9146023,3.6146595
crag_11_patch.tiff,patch_10,0.18852967,2.764789,-2.0565245,3.0498507,4.3839054,4.990049
crag_11_patch.tiff,patch_11,2.4970877,1.5841382,1.1912402,5.82104,8.36319,3.8237762
crag_11_patch.tiff,patch_12,7.6796837,-2.8273373,0.19503771,1.7696499,7.8657036,1.1484606
crag_11_patch.tiff,patch_13,2.833203,0.37855473,-1.3137786,4.5947375,8.817038,2.0113065
crag_11_patch.tiff,patch_14,-3.1625211,1.7693663,-0.78915614,7.1179166,7.2677298,3.932055
crag_11_patch.tiff,patch_15,1.5556782,4.647929,-4.5299144,4.6279955,8.383372,2.8887687
crag_11_patch.tiff,patch_16,1.4108682,2.8565924,-2.886323,3.9499605,7.590666,0.98703367
crag_11_patch.tiff,patch_17,3.147911,0.67920244,0.21707979,6.028104,8.216506,2.9680326
crag_11_patch.tiff,patch_18,4.839941,-4.6433334,6.0056763,7.6765003,13.815279,1.7194455
crag_11_patch.tiff,patch_19,4.3347015,-0.08693196,2.3710375,5.5299683,12.957451,2.337981
crag_11_patch.tiff,patch_20,1.5965276,0.6327284,-2.9833627,6.119879,7.732357,-0.040188923
