source_image,spot_id,neutrophil,epithelial,lymphocyte,plasma,eosinophil,fibroblast
crag_11_patch.tiff,patch_0,6.669492,-0.5181294,0.29614517,7.429767,11.691649,14.849245
crag_11_patch.tiff,patch_1,5.1000767,-1.205573,-0.32777727,7.737121,11.524257,16.194471
crag_11_patch.tiff,patch_2,-0.6176965,4.7911386,-5.9077754,2.4033077,2.753445,19.939589
crag_11_patch.tiff,patch_3,4.1921263,-0.54255795,-0.28696546,2.1533988,9.630245,19.63837
crag_11_patch.tiff,patch_4,4.4088683,0.1762871,2.0079257,5.906968,8.808456,21.457336
crag_11_patch.tiff,patch_5,5.6687255,1.4689916,0.27827656,4.28719,11.0907,16.116575
crag_11_patch.tiff,patch_6,3.110524,-1.7808973,-2.7484758,6.446831,8.323363,14.022425
crag_11_patch.tiff,patch_7,0.8238579,2.1425593,-6.861303,4.9348383,7.997749,14.62337
crag_11_patch.tiff,patch_8,3.040495,1.2729574,-2.720219,5.4565253,10.841657,17.195534
crag_11_patch.tiff,patch_9,-0.01096095,5.3150187,-7.0995903,2.2011359,4.9146023,20.462229
crag_11_patch.tiff,patch_10,0.18852967,2.764789,-2.0565245,3.0498507,4.3839054,20.242645
crag_11_patch.tiff,patch_11,2.4970877,1.5841382,1.1912402,5.82104,8.36319,19.94179
crag_11_patch.tiff,patch_12,7.6796837,-2.8273373,0.19503771,1.7696499,7.8657036,14.07216
crag_11_patch.tiff,patch_13,2.833203,0.37855473,-1.3137786,4.5947375,8.817038,14.914432
crag_11_patch.tiff,patch_14,-3.1625211,1.7693663,-0.78915614,7.1179166,7.2677298,16.855892
crag_11_patch.tiff,patch_15,1.5556782,4.647929,-4.5299144,4.6279955,8.383372,16.926651
crag_11_patch.tiff,patch_16,1.4108682,2.8565924,-2.886323,3.9499605,7.590666,19.251926
crag_11_patch.tiff,patch_17,3.147911,0.67920244,0.21707979,6.028104,8.216506,15.459953
crag_11_patch.tiff,patch_18,4.839941,-4.6433334,6.0056763,7.6765003,13.815279,13.242481
crag_11_patch.tiff,patch_19,4.3347015,-0.08693196,2.3710375,5.5299683,12.957451,16.77417
crag_11_patch.tiff,patch_20,1.5965276,0.6327284,-2.9833627,6.119879,7.732357,15.737691
crag_11_patch.tiff,patch_21,1.7274269,2.7365782,-2.3443449,6.4850965,8.910929,14.911101
crag_11_patch.tiff,patch_22,1.579402,2.1750937,-0.69555026,5.90302,8.003982,16.436398
crag_11_patch.tiff,patch_23,1.9650414,3.315371,-1.9111726,7.1942306,9.408997,17.864264
crag_11_patch.tiff,patch_24,3.004008,-0.85098517,5.364621,11.896448,6.3601317,22.103304
crag_11_patch.tiff,patch_25,2.0385559,-2.511687,1.5626013,2.469811,10.440651,14.110451
crag_11_patch.tiff,patch_26,1.1922926,0.048820406,0.23204045,5.412356,7.5758057,13.579388
crag_11_patch.tiff,patch_27,2.4629123,-1.1539181,0.3509893,5.877373,9.791163,15.98046
crag_11_patch.tiff,patch_28,1.6434733,1.1753427,-1.4255797,6.544637,8.695131,16.073858
crag_11_patch.tiff,patch_29,1.7534182,0.023087643,-0.48742285,9.770582,10.9537,15.464853
crag_11_patch.tiff,patch_30,7.879427,8.85164,-3.6234543,6.4764,1.2892406,25.638165
crag_11_patch.tiff,patch_31,4.0877953,-0.3573742,6.50441,5.8488975,11.241419,18.60923
crag_11_patch.tiff,patch_32,-0.42272925,1.7353097,-1.4594898,2.5005083,5.985516,13.793321
crag_11_patch.tiff,patch_33,1.4796526,-1.3160847,-0.947467,4.7971315,8.327937,14.411347
crag_11_patch.tiff,patch_34,0.38324726,-0.67824125,-0.9461439,6.114028,7.6491017,13.424095
crag_11_patch.tiff,patch_35,2.8640385,-0.015552345,-0.28124627,7.107792,9.816914,13.9554
crag_12_patch.tiff,patch_0,-0.4145867,-3.1188855,-7.4344373,-2.9285405,-3.046521,21.729698
crag_12_patch.tiff,patch_1,-3.3744829,-3.2225182,-9.675715,2.2381923,-7.019449,20.057957
crag_12_patch.tiff,patch_2,1.1986705,1.2979162,-4.0179157,2.598487,-0.6562288,20.19515
crag_12_patch.tiff,patch_3,5.8461013,2.394656,3.242752,1.0779586,0.51935047,16.252378
crag_12_patch.tiff,patch_4,5.2787156,2.4858024,1.160021,2.6153517,-0.3910304,18.766537
crag_12_patch.tiff,patch_5,9.880246,1.7808037,-0.21851642,1.5780112,1.348005,12.780358
crag_12_patch.tiff,patch_6,-5.247575,-4.388406,-8.586589,-2.466651,-5.123582,18.509722
crag_12_patch.tiff,patch_7,-2.9367032,-5.642973,-6.281645,1.4531304,-2.152032,20.48935
crag_12_patch.tiff,patch_8,4.048633,-1.6541055,0.60505855,2.1530886,1.1805658,18.598953
crag_12_patch.tiff,patch_9,3.7272074,4.8538327,3.772864,-3.5784137,-1.4490014,17.473824
crag_12_patch.tiff,patch_10,2.0789306,3.9077687,0.90104455,-0.4616116,-2.4318628,19.868576
crag_12_patch.tiff,patch_11,6.2896123,-1.3912039,2.3277013,-2.5859587,0.37281796,19.226564
crag_12_patch.tiff,patch_12,4.289385,0.16405934,-0.29242092,0.18455458,-1.3467313,18.861427
crag_12_patch.tiff,patch_13,10.905126,0.15546104,2.8953876,3.39793,4.2165484,14.085659
crag_12_patch.tiff,patch_14,7.295525,1.1742318,3.1169608,-3.4681673,1.6439089,17.897667
crag_12_patch.tiff,patch_15,8.831077,2.1909347,2.0106213,2.4679036,3.4105265,12.767904
crag_12_patch.tiff,patch_16,9.681254,-0.16301721,0.61565655,1.2407397,2.003806,15.298474
crag_12_patch.tiff,patch_17,12.471989,-2.2113597,4.2239385,3.04068,5.392451,13.990035
crag_12_patch.tiff,patch_18,8.598163,-1.0451901,0.421952,1.8685426,1.6041652,12.848607
crag_12_patch.tiff,patch_19,9.80471,-1.8077824,0.26023436,0.6525307,4.2021728,16.387232
crag_12_patch.tiff,patch_20,7.8658934,-1.4527469,2.955774,1.6324257,2.9625366,13.836431
crag_12_patch.tiff,patch_21,7.3687053,-0.83831185,3.5916617,1.6552808,3.064582,14.166372
crag_12_patch.tiff,patch_22,10.745695,-2.958392,2.476978,1.4355406,4.632629,15.101868
crag_12_patch.tiff,patch_23,13.997062,-2.7179294,1.4750924,3.6426167,8.194186,15.644218
crag_12_patch.tiff,patch_24,7.7880883,1.5243087,-1.7973229,2.2254846,1.5871001,13.192069
crag_12_patch.tiff,patch_25,8.21798,1.7946104,-0.15914363,3.6665518,-0.77794856,15.2453985
crag_12_patch.tiff,patch_26,9.540876,0.9566609,1.8952899,0.5767595,2.2528946,15.621842
crag_12_patch.tiff,patch_27,7.764648,-0.6649624,2.1962817,1.7253765,1.2939138,14.045975
crag_12_patch.tiff,patch_28,11.418738,0.02758101,4.3144183,0.89767265,3.8538063,16.855146
crag_12_patch.tiff,patch_29,11.1421,-1.162843,5.9726067,3.710763,5.4572144,13.617192
crag_12_patch.tiff,patch_30,5.723876,2.7629368,2.4061599,5.0075693,1.3717002,16.108236
crag_12_patch.tiff,patch_31,8.054582,2.7192237,2.2447586,5.497369,1.7528099,17.63699
crag_12_patch.tiff,patch_32,5.330774,-3.4011276,-0.4962408,0.70796156,-0.16039161,11.084708
crag_12_patch.tiff,patch_33,5.5736136,3.0090687,0.0054982123,0.8788112,-1.6492105,11.698431
crag_12_patch.tiff,patch_34,9.630093,1.4353833,1.6026828,1.5115474,2.4273417,15.138936
