source_image,spot_id,Neutrophil,Epithelial,Lymphocyte,Plasma,Eosinophil,Connective tissue
crag_11_patch.tiff,patch_0,14.694957,23.362995,19.564379,19.87913,19.700977,16.773727
crag_11_patch.tiff,patch_1,14.769246,23.137606,19.091808,19.415136,18.093636,16.50426
crag_11_patch.tiff,patch_2,15.970552,24.070225,20.060875,18.328745,16.318674,21.70582
crag_11_patch.tiff,patch_3,15.597829,22.671257,18.8187,19.389347,17.62364,18.96209
crag_11_patch.tiff,patch_4,17.027647,23.919899,20.032469,20.331831,18.002457,18.43366
crag_11_patch.tiff,patch_5,17.031351,23.558872,19.506536,21.312027,19.747892,18.2858
crag_11_patch.tiff,patch_6,15.806106,23.637884,20.216816,20.170174,19.397617,16.877253
crag_11_patch.tiff,patch_7,14.2448845,23.814167,19.61209,18.925346,17.91622,18.468634
crag_11_patch.tiff,patch_8,15.174274,24.367249,19.763601,18.502983,17.836565,19.076376
crag_11_patch.tiff,patch_9,16.049337,24.156841,19.054916,18.811758,16.73315,21.089087
crag_11_patch.tiff,patch_10,15.164416,23.910658,19.506502,19.438246,17.109594,20.22414
crag_11_patch.tiff,patch_11,19.129984,22.887297,20.474335,22.01226,20.353327,17.819086
crag_11_patch.tiff,patch_12,17.101822,24.767353,20.454155,19.843767,19.22913,17.813877
crag_11_patch.tiff,patch_13,14.352534,23.63881,19.151093,18.744318,18.857647,17.042686
crag_11_patch.tiff,patch_14,16.27526,24.625402,21.540936,20.403982,19.483118,18.881979
crag_11_patch.tiff,patch_15,14.708436,24.393497,20.29976,19.768595,18.99786,17.931124
crag_11_patch.tiff,patch_16,15.469984,24.594013,19.442019,19.276037,17.770597,19.769556
crag_11_patch.tiff,patch_17,16.992702,23.744875,20.17633,20.846725,20.257172,17.938852
crag_11_patch.tiff,patch_18,17.356947,25.392904,21.135984,22.49335,20.005636,18.568506
crag_11_patch.tiff,patch_19,14.914129,24.906925,19.84572,20.109991,19.854404,17.4852
crag_11_patch.tiff,patch_20,14.136045,24.593998,19.707952,17.424774,17.835724,18.643145
crag_11_patch.tiff,patch_21,13.637951,24.513987,18.926994,17.644323,17.539278,18.994398
crag_11_patch.tiff,patch_22,15.406129,24.326239,20.034657,18.948877,18.42245,19.614119
crag_11_patch.tiff,patch_23,15.040452,23.762188,18.855522,18.349646,17.15149,19.500546
crag_11_patch.tiff,patch_24,19.519249,25.803846,21.51423,22.684175,21.312536,22.490814
crag_11_patch.tiff,patch_25,15.038505,25.352356,20.31664,21.185701,20.28766,18.034492
crag_11_patch.tiff,patch_26,14.8879,23.801638,20.135159,19.782223,18.917988,17.191978
crag_11_patch.tiff,patch_27,13.95281,24.350891,19.551464,18.841871,18.409801,18.042677
crag_11_patch.tiff,patch_28,15.8772,24.0535,19.694149,19.671144,18.858438,18.797155
crag_11_patch.tiff,patch_29,16.048594,24.568855,20.943342,19.969006,19.918322,18.841219
crag_11_patch.tiff,patch_30,18.623156,23.942146,21.060751,20.631113,18.217707,24.087166
crag_11_patch.tiff,patch_31,18.348406,25.883398,20.628319,22.302326,20.785172,21.223545
crag_11_patch.tiff,patch_32,16.201036,25.528788,20.928654,21.944166,20.513058,18.610651
crag_11_patch.tiff,patch_33,15.474211,24.058262,20.49244,20.343523,18.909124,17.53936
crag_11_patch.tiff,patch_34,15.708909,24.839428,20.776722,20.263075,19.737606,18.281431
crag_11_patch.tiff,patch_35,13.969135,23.817795,20.269617,20.354877,18.597206,17.094975
crag_12_patch.tiff,patch_0,14.322971,23.506338,16.962772,19.484821,17.512142,22.382126
crag_12_patch.tiff,patch_1,13.494824,22.970692,17.179335,19.633814,17.109613,20.706501
crag_12_patch.tiff,patch_2,12.041056,22.763689,15.325999,17.829796,17.06644,20.270573
crag_12_patch.tiff,patch_3,14.122437,23.308065,17.400503,20.64808,19.93469,18.815403
crag_12_patch.tiff,patch_4,13.6669235,22.638563,15.9362335,20.553541,19.31116,17.633604
crag_12_patch.tiff,patch_5,13.466333,22.238178,15.309699,17.962128,17.495678,16.32784
crag_12_patch.tiff,patch_6,11.865195,22.902515,15.987586,19.002155,16.498434,20.756247
crag_12_patch.tiff,patch_7,12.691024,23.727938,17.028385,19.787289,18.706856,20.7376
crag_12_patch.tiff,patch_8,14.416986,22.96942,16.99366,20.452702,19.647133,19.06154
crag_12_patch.tiff,patch_9,16.403696,23.444141,18.947552,21.184746,18.334532,19.350237
crag_12_patch.tiff,patch_10,14.500973,24.290443,17.746593,20.752178,19.16155,21.923452
crag_12_patch.tiff,patch_11,14.435017,24.528324,18.11816,20.340124,19.85772,18.897758
crag_12_patch.tiff,patch_12,14.1108055,22.12845,15.651726,19.300291,17.807512,18.728542
crag_12_patch.tiff,patch_13,14.739564,22.31974,16.406033,19.772017,18.733559,18.127935
crag_12_patch.tiff,patch_14,13.012942,23.378101,16.680838,18.531622,18.367348,17.978046
crag_12_patch.tiff,patch_15,16.478172,23.41914,19.81064,18.656723,17.078568,19.462635
crag_12_patch.tiff,patch_16,16.61122,24.26517,18.197395,19.123703,19.497562,18.238235
crag_12_patch.tiff,patch_17,16.907024,23.288086,19.075457,21.536764,21.13775,18.332195
crag_12_patch.tiff,patch_18,13.820172,21.902252,15.662036,19.105827,17.650373,16.884045
crag_12_patch.tiff,patch_19,16.31765,24.280321,18.169851,19.470778,18.795265,18.84812
crag_12_patch.tiff,patch_20,16.992249,24.223612,19.34011,21.531097,20.130247,19.194908
crag_12_patch.tiff,patch_21,14.549124,23.34934,18.565744,20.712322,20.647608,18.475954
crag_12_patch.tiff,patch_22,15.811701,23.995693,18.408897,21.712912,20.252895,18.35708
crag_12_patch.tiff,patch_23,17.068388,24.256119,19.383488,20.762012,20.443516,17.476614
crag_12_patch.tiff,patch_24,14.280396,22.833155,16.837866,18.513723,18.125053,18.240519
crag_12_patch.tiff,patch_25,13.805825,22.058924,16.15846,17.76852,17.182734,18.188858
crag_12_patch.tiff,patch_26,13.9970045,21.118885,17.346357,18.085957,16.853037,16.36844
crag_12_patch.tiff,patch_27,16.392889,23.415937,18.5907,19.09977,20.351185,19.812117
crag_12_patch.tiff,patch_28,15.175071,23.745928,17.954767,19.915707,19.470207,17.105537
crag_12_patch.tiff,patch_29,15.859487,23.878698,19.005533,19.87029,20.137804,18.016043
crag_12_patch.tiff,patch_30,15.061667,23.338333,17.270653,20.968311,19.291779,18.14536
crag_12_patch.tiff,patch_31,14.678569,22.439905,17.630234,21.092802,20.18967,18.461039
crag_12_patch.tiff,patch_32,15.418149,22.428616,17.40468,19.269012,20.349344,17.246256
crag_12_patch.tiff,patch_33,15.125814,22.208748,16.691038,20.61835,20.948362,17.301401
crag_12_patch.tiff,patch_34,15.785056,22.764875,17.29071,21.276848,20.943039,16.983805
crag_12_patch.tiff,patch_35,13.970839,23.416332,16.930353,18.476048,19.08599,17.860617
crag_13_patch.tiff,patch_0,15.662853,23.052496,18.624298,19.20197,16.879793,21.717363
crag_13_patch.tiff,patch_1,15.387016,24.04576,19.073666,19.462528,18.116095,22.112803
crag_13_patch.tiff,patch_2,14.68701,22.95733,18.34501,19.213097,16.838188,22.212929
crag_13_patch.tiff,patch_3,13.925933,23.076721,17.586834,18.90785,16.660984,22.114582
crag_13_patch.tiff,patch_4,13.411908,22.549904,16.80223,18.392414,16.845564,19.70937
crag_13_patch.tiff,patch_5,14.015923,22.30819,16.984915,18.51697,17.62509,19.071497
crag_13_patch.tiff,patch_6,14.505646,23.602324,18.163235,19.403967,16.777061,22.376719
crag_13_patch.tiff,patch_7,13.505932,22.485727,17.319515,18.064491,15.536556,22.493042
crag_13_patch.tiff,patch_8,14.205219,22.805134,17.693295,18.956114,17.704708,19.819796
crag_13_patch.tiff,patch_9,13.752066,22.454271,16.660776,18.029505,17.383793,18.81623
crag_13_patch.tiff,patch_10,14.975831,21.987091,16.38256,19.44835,18.185045,18.005352
crag_13_patch.tiff,patch_11,13.622998,22.038692,16.912153,18.489813,17.217825,20.0667
crag_13_patch.tiff,patch_12,16.321356,23.21023,18.714497,18.394558,16.844748,20.845098
crag_13_patch.tiff,patch_13,15.770935,22.805239,18.030571,18.962969,17.822718,19.306852
crag_13_patch.tiff,patch_14,15.110415,22.15565,17.534115,18.27032,18.675377,17.062105
crag_13_patch.tiff,patch_15,16.052826,20.689386,16.85488,19.72642,19.815166,17.006758
crag_13_patch.tiff,patch_16,15.547885,22.152002,17.28927,20.062778,18.664371,19.556536
crag_13_patch.tiff,patch_17,14.451434,21.460716,16.906616,18.220451,18.591509,17.636806
crag_13_patch.tiff,patch_18,13.2604885,21.77905,16.83812,17.137146,16.498468,18.393269
crag_13_patch.tiff,patch_19,17.040356,22.961142,19.656664,19.463087,18.106728,19.154404
crag_13_patch.tiff,patch_20,15.733565,22.099525,17.72594,19.683935,18.626524,20.369337
crag_13_patch.tiff,patch_21,17.47344,22.959534,18.481268,20.742016,20.57583,18.319866
crag_13_patch.tiff,patch_22,15.343904,21.678404,16.959778,18.729172,18.529188,19.098585
crag_13_patch.tiff,patch_23,15.392566,22.178835,17.797758,19.801918,18.487576,18.200071
crag_13_patch.tiff,patch_24,16.106947,21.840546,18.689737,20.40193,18.26957,19.425056
crag_13_patch.tiff,patch_25,16.656607,23.373455,18.691689,20.17935,18.694178,19.461035
crag_13_patch.tiff,patch_26,13.656195,21.883205,16.523684,17.661846,17.551756,18.79919
crag_13_patch.tiff,patch_27,14.097954,22.229542,16.03757,18.03818,17.727123,17.51583
crag_13_patch.tiff,patch_28,13.914091,21.302986,16.22389,18.935074,17.945976,19.319136
crag_13_patch.tiff,patch_29,15.768385,21.88097,17.341257,19.314482,18.578901,19.4543
crag_13_patch.tiff,patch_30,14.371065,22.502584,17.420689,17.83349,17.112003,19.079512
crag_13_patch.tiff,patch_31,15.1225605,21.942524,17.183268,18.827047,18.68657,19.29648
crag_13_patch.tiff,patch_32,12.607111,20.432465,16.299206,17.535723,17.07182,18.528124
crag_13_patch.tiff,patch_33,14.361834,21.267664,16.530384,18.999626,18.11264,18.341524
crag_13_patch.tiff,patch_34,14.577081,21.694103,17.460173,19.494822,18.031359,19.62651
crag_13_patch.tiff,patch_35,13.072297,21.108908,15.796653,17.604395,18.408205,16.162722
crag_24_patch.tiff,patch_0,14.99718,23.711727,17.09821,20.910717,19.111181,18.472422
crag_24_patch.tiff,patch_1,14.929458,24.049177,17.654274,20.969002,18.155622,21.874027
crag_24_patch.tiff,patch_2,14.1276655,22.966032,16.534452,21.633375,18.684746,20.80848
crag_24_patch.tiff,patch_3,14.805265,23.873007,18.523844,21.53865,17.936142,22.958946
crag_24_patch.tiff,patch_4,15.983554,23.31941,18.93374,21.683197,17.491343,23.333767
crag_24_patch.tiff,patch_5,15.843352,23.49438,18.794186,21.134283,17.677454,22.77341
crag_24_patch.tiff,patch_6,17.17229,21.761612,19.077206,20.254799,17.790516,18.94503
crag_24_patch.tiff,patch_7,17.945309,21.89011,18.202013,22.435957,20.992996,17.671087
crag_24_patch.tiff,patch_8,15.651594,23.067017,18.243217,20.179293,20.285507,18.314255
crag_24_patch.tiff,patch_9,15.115299,23.775476,17.8663,20.341152,19.328257,20.726952
crag_24_patch.tiff,patch_10,16.538984,24.453587,18.344093,21.45972,19.225277,22.15833
crag_24_patch.tiff,patch_11,17.016016,23.146402,18.628403,21.538292,19.369476,19.97453
crag_24_patch.tiff,patch_12,18.848763,23.600351,20.329401,21.456385,17.79621,20.686249
crag_24_patch.tiff,patch_13,19.625978,24.184954,20.15127,22.387299,18.832651,21.725325
crag_24_patch.tiff,patch_14,15.913532,22.252768,17.28892,19.306385,19.39301,15.187081
crag_24_patch.tiff,patch_15,16.912352,23.327421,18.947626,21.95729,19.505909,18.133778
crag_24_patch.tiff,patch_16,15.868485,22.985344,18.311934,21.48221,20.245182,17.438065
crag_24_patch.tiff,patch_17,13.838162,22.077084,17.087183,20.303581,19.346256,16.721207
crag_24_patch.tiff,patch_18,17.646452,23.816086,18.7388,21.316614,19.100683,19.601095
crag_24_patch.tiff,patch_19,19.059874,23.158646,19.645828,21.123302,18.002686,20.04824
crag_24_patch.tiff,patch_20,16.652546,22.048353,18.028355,19.815758,18.204369,18.319965
crag_24_patch.tiff,patch_21,15.596065,21.572811,17.449389,19.819132,18.606497,17.489504
crag_24_patch.tiff,patch_22,14.850549,21.658405,16.392796,19.599874,18.165966,18.1911
crag_24_patch.tiff,patch_23,16.918455,23.230219,18.595736,20.666336,19.144812,17.908007
crag_24_patch.tiff,patch_24,17.238384,23.448881,18.166742,20.140425,18.810244,19.313246
crag_24_patch.tiff,patch_25,18.437742,23.600548,18.446053,22.078566,19.83357,19.065125
crag_24_patch.tiff,patch_26,16.117527,23.641356,17.949722,20.119978,18.595594,19.046078
crag_24_patch.tiff,patch_27,14.893752,22.251678,17.424812,18.89965,17.72411,17.916386
crag_24_patch.tiff,patch_28,16.728472,22.138493,18.091686,20.63896,19.372746,18.244951
crag_24_patch.tiff,patch_29,18.202126,23.049145,17.887796,22.39941,18.252941,18.903545
crag_24_patch.tiff,patch_30,19.240662,23.235384,20.478579,21.754139,19.935844,20.925419
crag_24_patch.tiff,patch_31,17.33641,24.129496,18.395882,20.719072,18.933659,20.005705
crag_24_patch.tiff,patch_32,17.711496,24.483719,18.961027,20.719776,19.592018,20.710941
crag_24_patch.tiff,patch_33,17.521746,22.899437,19.00642,20.911137,18.020128,19.77803
crag_24_patch.tiff,patch_34,17.460188,22.788063,17.537172,21.189386,19.387764,17.45128
crag_24_patch.tiff,patch_35,14.817188,22.930918,17.016958,19.824772,17.611626,19.186815
crag_26_patch.tiff,patch_0,14.563687,23.67355,19.951342,20.136541,18.827242,17.6634
crag_26_patch.tiff,patch_1,15.300174,24.592787,19.898388,20.790318,18.951405,18.998947
crag_26_patch.tiff,patch_2,15.321854,24.66923,19.500874,19.249176,18.576777,17.839075
crag_26_patch.tiff,patch_3,17.642067,23.944687,21.32982,24.551655,22.413624,17.21357
crag_26_patch.tiff,patch_4,19.703926,23.31847,21.940731,23.123186,18.917606,20.979765
crag_26_patch.tiff,patch_5,19.247398,22.622732,21.507954,22.573082,19.417194,23.903545
crag_26_patch.tiff,patch_6,16.22911,25.40419,21.185322,21.906872,20.264399,19.767374
crag_26_patch.tiff,patch_7,15.511,23.78386,20.437405,20.172287,19.473347,17.425627
crag_26_patch.tiff,patch_8,16.353077,24.851398,20.812916,21.923752,21.303003,18.143795
crag_26_patch.tiff,patch_9,16.527157,24.606903,20.494217,21.34777,20.267712,18.682058
crag_26_patch.tiff,patch_10,19.669441,24.043785,21.1412,23.804325,21.324429,16.782011
crag_26_patch.tiff,patch_11,19.329468,23.958195,21.203953,24.313993,20.025043,21.888248
crag_26_patch.tiff,patch_12,16.087198,25.50215,19.27139,20.41312,20.704147,17.831936
crag_26_patch.tiff,patch_13,15.912435,24.894089,20.448812,21.07225,20.090338,18.663855
crag_26_patch.tiff,patch_14,15.377849,23.577435,20.36715,19.923521,19.336124,17.443657
crag_26_patch.tiff,patch_15,15.326212,24.699594,20.73126,21.556622,20.740768,18.894356
crag_26_patch.tiff,patch_16,14.832679,23.56204,20.347824,19.01467,17.105623,18.928093
crag_26_patch.tiff,patch_17,19.230232,24.177866,22.25098,26.443247,23.689919,17.699745
crag_26_patch.tiff,patch_18,17.150736,25.029829,18.33412,20.499645,21.40027,18.838135
crag_26_patch.tiff,patch_19,15.189158,24.950552,19.600946,19.940414,18.852934,19.035189
crag_26_patch.tiff,patch_20,14.2543545,24.597298,19.743427,19.52178,19.275269,18.843681
crag_26_patch.tiff,patch_21,17.42492,25.302774,21.63527,22.666489,22.286592,18.846786
crag_26_patch.tiff,patch_22,15.044032,24.561666,20.54632,21.142996,20.189913,16.905155
crag_26_patch.tiff,patch_23,16.883242,24.40989,21.352015,23.423267,21.770126,18.308882
crag_26_patch.tiff,patch_24,15.874063,25.023468,18.75716,19.348635,19.692265,18.397928
crag_26_patch.tiff,patch_25,17.299791,24.551435,20.593271,21.840853,21.259356,19.859804
crag_26_patch.tiff,patch_26,12.641526,24.33687,17.042362,17.521801,17.011461,19.17677
crag_26_patch.tiff,patch_27,16.256733,25.454515,19.912289,20.190117,20.101143,18.177937
crag_26_patch.tiff,patch_28,15.507345,24.81453,19.930449,20.171286,19.645489,17.951338
crag_26_patch.tiff,patch_29,16.36706,24.9867,21.78707,23.656328,21.396172,19.26596
crag_26_patch.tiff,patch_30,16.918163,23.998848,18.484343,18.449278,16.485584,23.218513
crag_26_patch.tiff,patch_31,16.218216,24.90994,19.837526,22.604383,20.269743,19.578228
crag_26_patch.tiff,patch_32,14.435621,23.824562,17.381916,17.789057,17.193312,19.878735
crag_26_patch.tiff,patch_33,16.253206,24.713436,19.499983,21.321123,21.128305,17.898401
crag_26_patch.tiff,patch_34,14.364801,24.308804,17.834301,18.818842,18.666851,18.903503
crag_26_patch.tiff,patch_35,17.675837,25.254992,21.210342,21.155125,20.768465,19.62199
crag_29_patch.tiff,patch_0,13.790901,21.978785,16.060085,18.364279,18.945923,17.890255
crag_29_patch.tiff,patch_1,14.955451,22.688313,17.954329,18.69878,19.069906,19.002949
crag_29_patch.tiff,patch_2,17.033678,22.676262,17.955002,20.525215,20.012775,17.921156
crag_29_patch.tiff,patch_3,14.909631,23.008034,16.648453,19.421053,18.497559,20.338877
crag_29_patch.tiff,patch_4,14.037844,23.539831,16.21333,18.852182,18.938452,18.08238
crag_29_patch.tiff,patch_5,14.900386,22.246817,17.176832,19.400623,19.824154,16.787628
crag_29_patch.tiff,patch_6,12.018832,20.954315,15.713044,17.415865,17.1089,16.479792
crag_29_patch.tiff,patch_7,13.260721,21.338285,17.108564,16.982594,16.48914,17.421133
crag_29_patch.tiff,patch_8,14.688868,21.538923,16.319223,19.27254,18.740118,16.914602
crag_29_patch.tiff,patch_9,14.630104,21.902922,16.860699,19.262497,18.470049,16.535494
crag_29_patch.tiff,patch_10,15.735303,23.428274,18.034708,20.897131,19.17904,18.751375
crag_29_patch.tiff,patch_11,15.452731,22.58824,17.104134,20.524221,20.326141,18.63855
crag_29_patch.tiff,patch_12,14.924372,21.633802,16.54885,19.360226,18.701061,16.574749
crag_29_patch.tiff,patch_13,11.553835,20.912277,15.677257,15.8940525,16.255877,16.806238
crag_29_patch.tiff,patch_14,12.663111,21.958046,15.981657,18.769968,17.438501,19.597425
crag_29_patch.tiff,patch_15,15.31095,23.135582,18.014528,18.818491,17.56509,17.72733
crag_29_patch.tiff,patch_16,15.4038725,21.343624,17.11972,19.581373,19.432476,15.653226
crag_29_patch.tiff,patch_17,14.408538,23.41565,17.036827,19.945148,19.337265,19.779428
crag_29_patch.tiff,patch_18,11.522603,21.887096,15.883365,16.676321,15.533443,17.045858
crag_29_patch.tiff,patch_19,14.961302,20.800756,16.665762,18.66502,19.198465,16.4586
crag_29_patch.tiff,patch_20,15.379362,21.45023,18.201193,20.02796,20.309122,14.9868145
crag_29_patch.tiff,patch_21,15.06809,22.40232,17.49657,20.07569,18.682383,17.086843
crag_29_patch.tiff,patch_22,15.220396,23.593819,17.134754,19.948952,19.063753,18.389349
crag_29_patch.tiff,patch_23,15.736141,22.71638,16.859093,22.043787,21.110617,17.859915
crag_29_patch.tiff,patch_24,15.949195,22.40791,18.135464,19.486467,20.032793,17.934967
crag_29_patch.tiff,patch_25,15.5608225,22.50334,17.216593,18.505531,19.499235,17.583849
crag_29_patch.tiff,patch_26,14.15616,22.251318,16.439156,18.217592,18.670843,16.649916
crag_29_patch.tiff,patch_27,14.9781065,22.547205,17.45337,19.022987,19.70736,16.30873
crag_29_patch.tiff,patch_28,14.5892105,21.914513,16.753729,19.311787,19.650272,16.3344
crag_29_patch.tiff,patch_29,15.533148,21.378548,16.557062,20.91609,21.385868,15.177179
crag_29_patch.tiff,patch_30,13.511054,23.91269,17.7509,19.5222,18.02514,21.80747
crag_29_patch.tiff,patch_31,15.797028,24.727995,18.62822,19.495337,19.606056,21.329792
crag_29_patch.tiff,patch_32,16.93269,24.32807,19.289661,19.634104,20.292528,20.087881
crag_29_patch.tiff,patch_33,16.042728,23.886091,18.979372,20.359074,19.342068,20.757484
crag_29_patch.tiff,patch_34,13.199845,22.969091,17.148293,18.136442,17.420425,20.348892
crag_29_patch.tiff,patch_35,14.573456,22.128727,16.168009,19.681704,18.66704,17.607222
crag_2_patch.tiff,patch_0,16.648571,24.196169,21.43493,20.211454,18.43192,20.805088
crag_2_patch.tiff,patch_1,17.025122,23.939892,21.322025,19.607712,16.407967,19.954046
crag_2_patch.tiff,patch_2,16.868795,24.096754,20.777246,20.099695,17.974623,20.493233
