source_image,spot_id,neutrophil,epithelial,lymphocyte,plasma,eosinophil,fibroblast
crag_11_patch.tiff,patch_0,14.694957,23.362995,19.564379,19.87913,19.700977,16.464014
crag_11_patch.tiff,patch_1,14.769246,23.137606,19.091808,19.415136,18.093636,15.861855
crag_11_patch.tiff,patch_2,15.970552,24.070225,20.060875,18.328745,16.318674,20.718477
crag_11_patch.tiff,patch_3,15.597829,22.671257,18.8187,19.389347,17.62364,19.316586
crag_11_patch.tiff,patch_4,17.027647,23.919899,20.032469,20.331831,18.002457,17.24982
crag_11_patch.tiff,patch_5,17.031351,23.558872,19.506536,21.312027,19.747892,17.786106
crag_11_patch.tiff,patch_6,15.806106,23.637884,20.216816,20.170174,19.397617,15.609657
crag_11_patch.tiff,patch_7,14.2448845,23.814167,19.61209,18.925346,17.91622,17.490202
crag_11_patch.tiff,patch_8,15.174274,24.367249,19.763601,18.502983,17.836565,18.040148
crag_11_patch.tiff,patch_9,16.049337,24.156841,19.054916,18.811758,16.73315,20.403112
crag_11_patch.tiff,patch_10,15.164416,23.910658,19.506502,19.438246,17.109594,18.604834
crag_11_patch.tiff,patch_11,19.129984,22.887297,20.474335,22.01226,20.353327,18.210066
crag_11_patch.tiff,patch_12,17.101822,24.767353,20.454155,19.843767,19.22913,15.193895
crag_11_patch.tiff,patch_13,14.352534,23.63881,19.151093,18.744318,18.857647,15.028485
crag_11_patch.tiff,patch_14,16.27526,24.625402,21.540936,20.403982,19.483118,16.084581
crag_11_patch.tiff,patch_15,14.708436,24.393497,20.29976,19.768595,18.99786,16.568419
crag_11_patch.tiff,patch_16,15.469984,24.594013,19.442019,19.276037,17.770597,19.627104
crag_11_patch.tiff,patch_17,16.992702,23.744875,20.17633,20.846725,20.257172,17.571938
crag_11_patch.tiff,patch_18,17.356947,25.392904,21.135984,22.49335,20.005636,16.802656
crag_11_patch.tiff,patch_19,14.914129,24.906925,19.84572,20.109991,19.854404,15.339956
crag_11_patch.tiff,patch_20,14.136045,24.593998,19.707952,17.424774,17.835724,15.93864
crag_11_patch.tiff,patch_21,13.637951,24.513987,18.926994,17.644323,17.539278,17.936167
crag_11_patch.tiff,patch_22,15.406129,24.326239,20.034657,18.948877,18.42245,18.560886
crag_11_patch.tiff,patch_23,15.040452,23.762188,18.855522,18.349646,17.15149,18.40296
