source_image,spot_id,Epithelial,Dead Cells,Connective/Soft tissue cells,Inflammatory,Neoplastic cells
batch_00000_patch.tiff,patch_0,18.140697,10.153384,24.815327,8.225823,-4.319584
batch_00000_patch.tiff,patch_1,14.834793,9.998136,27.76283,7.671786,-3.4925373
batch_00000_patch.tiff,patch_2,8.174993,9.998927,9.847786,7.4328327,-7.2857485
batch_00000_patch.tiff,patch_3,8.157354,10.355969,11.249154,7.980623,-5.683885
batch_00000_patch.tiff,patch_4,1.5427847,11.133228,0.67984307,1.880958,-14.778283
batch_00000_patch.tiff,patch_5,9.173253,10.901625,5.888374,4.5182543,-12.653089
batch_00000_patch.tiff,patch_6,1.9850556,14.203786,5.2082267,3.7587037,-11.478707
batch_00000_patch.tiff,patch_7,4.9224133,19.264795,11.637933,4.997262,-9.227218
batch_00000_patch.tiff,patch_8,6.5697823,8.329088,2.2501013,4.729563,-11.184791
batch_00000_patch.tiff,patch_9,0.92183715,9.326184,2.5301578,5.928861,-12.287827
batch_00000_patch.tiff,patch_10,5.796604,7.91236,7.508918,3.1466591,-9.325582
batch_00000_patch.tiff,patch_11,2.4181232,5.7458124,5.142077,4.3659525,-10.819873
batch_00000_patch.tiff,patch_12,13.436873,13.379458,17.11402,8.114404,-4.9269648
batch_00000_patch.tiff,patch_13,20.111319,8.259635,27.281675,5.469155,-6.169673
batch_00000_patch.tiff,patch_14,6.5529137,9.040113,10.160985,8.220984,-1.5217192
batch_00000_patch.tiff,patch_15,10.145802,13.32323,6.4869595,3.2979763,-14.699991
batch_00000_patch.tiff,patch_16,8.459545,10.011151,3.0316048,1.2214583,-13.926997
batch_00000_patch.tiff,patch_17,5.513626,10.506688,2.7853017,3.9102318,-12.591331
batch_00000_patch.tiff,patch_18,8.734387,13.77121,7.206951,12.106889,-8.583255
batch_00000_patch.tiff,patch_19,6.534029,14.711815,6.3303256,5.0255833,-10.97649
batch_00000_patch.tiff,patch_20,10.065239,14.566009,8.476692,3.2106638,-11.696946
batch_00000_patch.tiff,patch_21,8.294076,10.516903,7.3318467,3.9473982,-10.398459
batch_00000_patch.tiff,patch_22,3.7873378,8.152431,3.4075212,3.6320343,-13.176754
batch_00000_patch.tiff,patch_23,14.628155,9.640332,16.08176,6.214185,-5.564588
batch_00000_patch.tiff,patch_24,21.556103,12.610876,21.201275,12.579833,-3.6716359
batch_00000_patch.tiff,patch_25,7.0886984,11.108531,9.533981,7.891874,-6.5301914
batch_00000_patch.tiff,patch_26,10.183218,8.098412,7.3841414,9.502791,-8.805328
batch_00000_patch.tiff,patch_27,5.9191937,9.26429,4.396913,0.88796353,-11.719654
batch_00000_patch.tiff,patch_28,6.6695404,11.318461,5.590382,2.1816218,-12.511922
batch_00000_patch.tiff,patch_29,15.297344,14.0067835,17.072147,7.1242375,-9.620799
batch_00000_patch.tiff,patch_30,10.347626,8.42113,13.457689,8.052574,-9.816607
batch_00000_patch.tiff,patch_31,5.8975368,18.991531,7.108818,6.1546636,-11.338774
batch_00000_patch.tiff,patch_32,6.5848217,13.821072,9.164039,8.378821,-10.218072
batch_00000_patch.tiff,patch_33,5.1789227,9.523439,5.3022165,5.952114,-12.661422
batch_00000_patch.tiff,patch_34,5.592532,9.013906,1.0400764,3.9079735,-13.201785
batch_00000_patch.tiff,patch_35,14.69896,7.0575085,23.23168,5.4616694,-8.117111
batch_00000_patch.tiff,patch_36,14.261679,10.427331,15.965133,15.767126,-10.826545
batch_00000_patch.tiff,patch_37,4.9485464,8.29151,9.274844,2.5262563,-9.348229
batch_00000_patch.tiff,patch_38,6.384318,13.754142,11.797429,6.4648185,-10.028056
batch_00000_patch.tiff,patch_39,4.8701906,12.322731,3.6395316,2.3226223,-13.360638
batch_00000_patch.tiff,patch_40,6.011322,10.674641,4.9142337,2.7169623,-11.149367
