source_image,spot_id,epithelial,dead cells,fibroblasts,leukocytes,cancer cells
batch_00000_patch.tiff,patch_0,18.140697,10.153384,13.7989435,25.246185,-3.2997522
batch_00000_patch.tiff,patch_1,14.834793,9.998136,15.487809,18.929873,-7.071643
batch_00000_patch.tiff,patch_2,8.174993,9.998927,8.141675,16.222868,-4.274749
batch_00000_patch.tiff,patch_3,8.157354,10.355969,7.0746436,14.612267,-3.1360464
batch_00000_patch.tiff,patch_4,1.5427847,11.133228,-6.1883726,17.681461,0.5476809
batch_00000_patch.tiff,patch_5,9.173253,10.901625,-2.1490192,20.805147,1.6055862
batch_00000_patch.tiff,patch_6,1.9850556,14.203786,-1.544122,20.077023,-0.85421973
batch_00000_patch.tiff,patch_7,4.9224133,19.264795,4.9411845,21.12524,-6.0779333
batch_00000_patch.tiff,patch_8,6.5697823,8.329088,7.9427,17.837748,0.20458202
batch_00000_patch.tiff,patch_9,0.92183715,9.326184,-2.171129,14.950768,-5.6727324
batch_00000_patch.tiff,patch_10,5.796604,7.91236,3.561178,18.50698,-3.341758
batch_00000_patch.tiff,patch_11,2.4181232,5.7458124,0.7040068,15.655809,-3.4825833
batch_00000_patch.tiff,patch_12,13.436873,13.379458,9.984623,26.92741,-6.0293922
batch_00000_patch.tiff,patch_13,20.111319,8.259635,17.143839,20.865839,-6.666326
batch_00000_patch.tiff,patch_14,6.5529137,9.040113,10.966009,17.51246,-6.7550836
batch_00000_patch.tiff,patch_15,10.145802,13.32323,-3.1677456,21.654009,2.1068964
batch_00000_patch.tiff,patch_16,8.459545,10.011151,-2.2916212,21.920881,1.6331251
batch_00000_patch.tiff,patch_17,5.513626,10.506688,-3.3953443,16.454554,-2.0377777
batch_00000_patch.tiff,patch_18,8.734387,13.77121,-0.9227345,24.388037,-6.761369
batch_00000_patch.tiff,patch_19,6.534029,14.711815,5.5232825,21.044992,-2.950076
batch_00000_patch.tiff,patch_20,10.065239,14.566009,3.0103595,21.461935,-0.85979044
