source_image,spot_id,Epithelial,Dead Cells,Connective/Soft tissue cells,Inflammatory,Neoplastic cells
batch_00000_patch.tiff,patch_0,25.764078,23.813808,25.258175,24.593243,26.313608
batch_00000_patch.tiff,patch_1,26.58965,24.017052,28.769644,24.565908,27.518728
batch_00000_patch.tiff,patch_2,26.811308,23.834028,25.137053,24.722797,25.965923
batch_00000_patch.tiff,patch_3,27.005333,23.774397,25.744095,24.660149,25.462635
batch_00000_patch.tiff,patch_4,25.337387,24.224245,23.568737,24.268053,25.603218
batch_00000_patch.tiff,patch_5,25.647497,24.196499,25.4796,23.678486,25.934637
batch_00000_patch.tiff,patch_6,25.10367,23.691736,24.177029,24.322336,25.68255
batch_00000_patch.tiff,patch_7,24.763601,23.751328,22.958344,24.372429,24.90764
batch_00000_patch.tiff,patch_8,25.071827,23.899647,25.809223,23.71488,27.487469
batch_00000_patch.tiff,patch_9,25.284708,23.901043,25.307676,24.668121,26.381386
batch_00000_patch.tiff,patch_10,26.338432,23.098114,25.38997,23.928423,25.628752
batch_00000_patch.tiff,patch_11,25.822777,23.798674,25.484386,23.803242,25.921984
batch_00000_patch.tiff,patch_12,25.207132,24.003529,23.10304,24.443052,26.268925
batch_00000_patch.tiff,patch_13,28.39002,23.88222,26.849295,25.306822,28.338247
batch_00000_patch.tiff,patch_14,26.599144,24.403685,27.267195,24.79475,24.766815
batch_00000_patch.tiff,patch_15,25.049223,23.883314,24.755947,23.134659,26.253386
batch_00000_patch.tiff,patch_16,26.40327,23.288551,24.43498,22.824966,25.756227
batch_00000_patch.tiff,patch_17,24.89408,24.147303,23.625502,24.434515,25.59645
batch_00000_patch.tiff,patch_18,26.922323,24.261808,23.226189,25.463627,25.712353
batch_00000_patch.tiff,patch_19,25.79064,23.532726,26.973286,22.550299,26.608511
batch_00000_patch.tiff,patch_20,25.715471,23.730217,25.104113,24.308092,26.043297
batch_00000_patch.tiff,patch_21,26.194258,23.155563,25.179865,24.155577,25.923874
batch_00000_patch.tiff,patch_22,25.849056,24.09912,25.17618,24.318914,25.753014
batch_00000_patch.tiff,patch_23,26.550745,24.146547,26.130709,24.212673,28.299282
batch_00000_patch.tiff,patch_24,27.016407,25.189814,26.305286,25.160854,27.260134
batch_00000_patch.tiff,patch_25,26.74057,24.24928,26.598232,24.69822,25.87277
batch_00000_patch.tiff,patch_26,27.183796,23.938625,25.663395,25.704437,26.122963
batch_00000_patch.tiff,patch_27,25.919195,23.080801,23.33646,23.924826,25.717457
batch_00000_patch.tiff,patch_28,27.009201,23.824423,23.995415,24.585155,25.541529
batch_00000_patch.tiff,patch_29,26.443336,25.078989,25.295586,25.2603,28.113783
batch_00000_patch.tiff,patch_30,27.58047,24.295694,28.504778,25.203722,27.322683
batch_00000_patch.tiff,patch_31,24.475245,23.333347,24.856363,21.286137,26.535841
batch_00000_patch.tiff,patch_32,24.557869,23.797926,25.754324,24.04174,23.628748
batch_00000_patch.tiff,patch_33,26.24529,23.278648,26.671751,25.363602,25.600887
batch_00000_patch.tiff,patch_34,25.831076,23.192265,24.122889,24.038324,25.880453
batch_00000_patch.tiff,patch_35,26.872965,22.753479,26.749332,25.475151,27.380983
batch_00000_patch.tiff,patch_36,25.529427,23.867771,24.445429,24.464664,26.730913
batch_00000_patch.tiff,patch_37,25.502928,23.18456,26.138138,24.019194,25.95231
batch_00000_patch.tiff,patch_38,25.793968,23.804579,26.681465,24.420992,25.247398
batch_00000_patch.tiff,patch_39,26.445591,23.331896,23.689194,24.126368,26.176357
batch_00000_patch.tiff,patch_40,26.630001,23.792356,24.218945,23.900381,25.829367
batch_00000_patch.tiff,patch_41,26.705532,24.318144,26.11426,25.213484,27.341057
batch_00000_patch.tiff,patch_42,26.541313,24.19038,26.431925,25.787165,27.474874
batch_00000_patch.tiff,patch_43,25.508911,23.613125,25.831379,24.698246,26.032078
batch_00000_patch.tiff,patch_44,25.700914,23.17594,24.839508,23.987663,27.002155
batch_00000_patch.tiff,patch_45,25.827084,23.615974,25.498404,24.09403,26.560783
batch_00000_patch.tiff,patch_46,24.934462,23.269958,23.963795,24.479689,26.857159
batch_00000_patch.tiff,patch_47,24.524035,24.243568,24.186052,25.005114,27.67396
batch_00000_patch.tiff,patch_48,26.098652,23.438099,26.880596,25.212105,24.77994
batch_00000_patch.tiff,patch_49,27.44642,23.13925,27.907156,25.133226,25.66788
batch_00000_patch.tiff,patch_50,26.055925,23.944698,23.822079,22.360573,26.81749
batch_00000_patch.tiff,patch_51,25.96077,23.57382,23.5622,24.305086,25.87104
batch_00000_patch.tiff,patch_52,24.7626,23.496286,23.954136,24.857893,26.495777
batch_00000_patch.tiff,patch_53,26.657549,22.532423,24.57376,25.329727,25.687752
batch_00000_patch.tiff,patch_54,24.825743,22.745167,23.477003,24.663326,25.692703
batch_00000_patch.tiff,patch_55,25.202682,23.307014,24.088995,24.61929,26.800076
batch_00000_patch.tiff,patch_56,25.065283,23.64017,24.78923,24.636244,26.539476
batch_00000_patch.tiff,patch_57,24.933722,23.555733,24.196054,24.444136,26.19636
batch_00000_patch.tiff,patch_58,27.00467,24.602413,26.775103,25.055006,25.945675
batch_00000_patch.tiff,patch_59,28.479963,23.540901,27.168755,24.969507,25.768549
batch_00000_patch.tiff,patch_60,27.405329,23.485992,23.098928,23.27546,27.07781
batch_00000_patch.tiff,patch_61,26.181925,23.347443,22.419268,22.805552,25.45986
batch_00000_patch.tiff,patch_62,26.393286,23.341234,25.134775,26.331413,25.31836
batch_00000_patch.tiff,patch_63,26.876993,22.742313,25.529308,25.728354,25.526417
batch_00000_patch.tiff,patch_64,25.68972,22.557505,24.394756,24.310007,25.310879
batch_00000_patch.tiff,patch_65,26.014765,23.444033,25.670921,24.670439,26.16574
batch_00000_patch.tiff,patch_66,26.511278,23.890541,24.080091,25.3488,27.703646
batch_00000_patch.tiff,patch_67,24.211912,23.957148,23.65377,24.354584,27.020853
batch_00000_patch.tiff,patch_68,26.001123,24.42078,23.965593,24.296227,25.675495
batch_00000_patch.tiff,patch_69,25.398825,23.569324,23.760818,24.134293,26.000418
batch_00000_patch.tiff,patch_70,26.633444,23.063183,23.58485,24.496902,25.62709
batch_00000_patch.tiff,patch_71,26.962967,23.72082,24.0306,24.915615,26.637552
batch_00000_patch.tiff,patch_72,27.48828,22.891676,25.92609,25.45071,25.687408
batch_00000_patch.tiff,patch_73,25.45378,23.635664,25.098993,23.583027,27.503716
batch_00000_patch.tiff,patch_74,25.843573,22.98535,24.283703,23.542488,25.933077
batch_00000_patch.tiff,patch_75,26.055962,23.380976,25.071453,24.57624,25.948458
batch_00000_patch.tiff,patch_76,25.716484,24.884941,25.586245,24.389645,29.028429
batch_00000_patch.tiff,patch_77,25.813643,24.69374,25.090002,24.971567,27.695648
