source_image,spot_id,epithelial,dead cells,fibroblasts,leukocytes,cancer cells
batch_00000_patch.tiff,patch_0,25.764078,23.813808,25.831482,24.82279,26.498714
batch_00000_patch.tiff,patch_1,26.58965,24.01705,28.101906,24.087654,27.4839
batch_00000_patch.tiff,patch_2,26.811306,23.834023,25.118393,24.728949,26.649805
batch_00000_patch.tiff,patch_3,27.005333,23.774393,25.721773,23.291481,24.927511
batch_00000_patch.tiff,patch_4,25.33739,24.224245,23.689043,25.72542,27.043858
batch_00000_patch.tiff,patch_5,25.647497,24.196497,24.092472,24.159681,26.711239
batch_00000_patch.tiff,patch_6,25.10367,23.69174,22.662746,25.365183,26.877604
batch_00000_patch.tiff,patch_7,24.763601,23.751328,23.996414,24.29832,25.9898
batch_00000_patch.tiff,patch_8,25.071825,23.899645,23.234066,25.644728,27.729027
batch_00000_patch.tiff,patch_9,25.284712,23.901041,25.866184,25.745146,27.422667
batch_00000_patch.tiff,patch_10,26.338434,23.098116,25.323545,22.282701,26.189323
batch_00000_patch.tiff,patch_11,25.822777,23.798674,23.77449,24.523281,26.743029
batch_00000_patch.tiff,patch_12,25.207132,24.003525,25.367882,24.890944,27.068655
batch_00000_patch.tiff,patch_13,28.39002,23.88222,26.93476,24.296825,27.781906
batch_00000_patch.tiff,patch_14,26.599138,24.403679,25.649189,24.104702,25.62034
batch_00000_patch.tiff,patch_15,25.049223,23.883314,23.648188,25.433945,27.385683
batch_00000_patch.tiff,patch_16,26.403267,23.288553,24.692339,24.166128,26.536076
batch_00000_patch.tiff,patch_17,24.89408,24.147305,23.851847,25.667028,26.881924
batch_00000_patch.tiff,patch_18,26.922323,24.26181,23.548742,24.596273,25.907404
batch_00000_patch.tiff,patch_19,25.790636,23.532726,22.090443,24.185207,26.525848
batch_00000_patch.tiff,patch_20,25.715471,23.730215,25.527905,25.484655,26.931442
batch_00000_patch.tiff,patch_21,26.194258,23.155563,25.072771,22.992943,26.0925
batch_00000_patch.tiff,patch_22,25.849052,24.099117,24.83309,24.197474,26.739634
batch_00000_patch.tiff,patch_23,26.550747,24.146544,26.76827,25.432278,28.153864
batch_00000_patch.tiff,patch_24,27.016407,25.189814,26.64127,25.251467,27.688139
batch_00000_patch.tiff,patch_25,26.740566,24.249275,24.947435,24.536133,25.92837
batch_00000_patch.tiff,patch_26,27.183796,23.938623,25.30371,23.901682,26.059908
batch_00000_patch.tiff,patch_27,25.919197,23.080803,23.573912,23.529047,26.14308
batch_00000_patch.tiff,patch_28,27.009201,23.824427,24.276262,25.306175,26.686232
batch_00000_patch.tiff,patch_29,26.44334,25.078987,26.297813,26.072752,27.662422
batch_00000_patch.tiff,patch_30,27.580467,24.295692,26.73273,24.616823,27.17527
batch_00000_patch.tiff,patch_31,24.475243,23.333345,22.389874,23.765127,26.226725
batch_00000_patch.tiff,patch_32,24.557865,23.797924,23.853031,23.715845,24.607542
batch_00000_patch.tiff,patch_33,26.24529,23.278648,24.643642,24.557444,26.584517
batch_00000_patch.tiff,patch_34,25.831076,23.192265,23.879269,24.638597,26.389557
batch_00000_patch.tiff,patch_35,26.872965,22.753477,26.217953,23.902365,26.771748
batch_00000_patch.tiff,patch_36,25.529423,23.867771,25.189102,25.611393,27.223616
batch_00000_patch.tiff,patch_37,25.502928,23.184559,25.011871,24.5967,26.179445
batch_00000_patch.tiff,patch_38,25.793968,23.804577,26.275553,23.951715,25.53722
batch_00000_patch.tiff,patch_39,26.445591,23.331898,23.862343,24.68138,26.296
batch_00000_patch.tiff,patch_40,26.630001,23.79236,24.231575,25.179142,26.81463
batch_00000_patch.tiff,patch_41,26.705528,24.318144,25.979042,25.01802,27.059465
batch_00000_patch.tiff,patch_42,26.541311,24.19038,25.066612,25.88359,27.38657
batch_00000_patch.tiff,patch_43,25.508911,23.613123,24.172503,24.82937,27.067728
batch_00000_patch.tiff,patch_44,25.700914,23.175941,23.86414,24.978006,26.718126
batch_00000_patch.tiff,patch_45,25.827084,23.615973,24.003988,24.685497,27.649485
batch_00000_patch.tiff,patch_46,24.93446,23.269958,24.665024,25.025352,26.828022
batch_00000_patch.tiff,patch_47,24.524035,24.24357,24.337234,28.152834,28.013151
batch_00000_patch.tiff,patch_48,26.098652,23.438099,25.718578,24.025333,25.946608
batch_00000_patch.tiff,patch_49,27.44642,23.139248,26.763737,23.311697,25.695404
batch_00000_patch.tiff,patch_50,26.055927,23.9447,23.433304,24.728558,26.855732
batch_00000_patch.tiff,patch_51,25.960772,23.573824,24.280838,25.303207,27.107748
batch_00000_patch.tiff,patch_52,24.7626,23.496283,23.869612,24.313295,26.326113
batch_00000_patch.tiff,patch_53,26.657549,22.532421,23.866959,23.750164,25.789944
batch_00000_patch.tiff,patch_54,24.825743,22.745163,22.77375,24.611118,25.918755
batch_00000_patch.tiff,patch_55,25.202686,23.30701,22.835138,25.035337,26.886553
batch_00000_patch.tiff,patch_56,25.06528,23.640171,25.493778,24.916986,26.678118
batch_00000_patch.tiff,patch_57,24.933722,23.555733,25.610634,24.622501,26.376467
batch_00000_patch.tiff,patch_58,27.00467,24.602413,26.280024,23.924078,25.572865
batch_00000_patch.tiff,patch_59,28.47996,23.540901,26.868864,23.188675,25.012041
batch_00000_patch.tiff,patch_60,27.405329,23.485994,23.755766,23.053698,26.641943
batch_00000_patch.tiff,patch_61,26.181927,23.347446,22.396635,24.622616,26.383385
batch_00000_patch.tiff,patch_62,26.393284,23.341232,24.136097,23.975351,26.094015
batch_00000_patch.tiff,patch_63,26.87699,22.742311,25.036581,22.60762,25.846006
batch_00000_patch.tiff,patch_64,25.689718,22.557505,24.683449,23.372374,25.519207
batch_00000_patch.tiff,patch_65,26.014765,23.44403,24.769308,24.180082,26.816463
batch_00000_patch.tiff,patch_66,26.511278,23.89054,23.233646,24.70457,26.806616
batch_00000_patch.tiff,patch_67,24.211912,23.957148,22.992222,26.50311,27.773722
batch_00000_patch.tiff,patch_68,26.001123,24.42078,24.746239,24.31674,26.76093
batch_00000_patch.tiff,patch_69,25.398829,23.569324,24.10863,23.773216,26.574854
batch_00000_patch.tiff,patch_70,26.633444,23.063187,24.48005,24.680733,26.685259
batch_00000_patch.tiff,patch_71,26.962967,23.72082,24.053959,25.255793,26.818989
batch_00000_patch.tiff,patch_72,27.48828,22.891672,25.61757,23.639616,25.823689
batch_00000_patch.tiff,patch_73,25.45378,23.635664,24.01301,25.46959,27.341196
batch_00000_patch.tiff,patch_74,25.843573,22.98535,23.344845,23.973862,26.333485
batch_00000_patch.tiff,patch_75,26.055965,23.380976,24.365522,24.149862,26.48935
batch_00000_patch.tiff,patch_76,25.716484,24.88494,24.071594,27.771124,29.010504
