source_image,spot_id,Background,B cells,Macrophages/Monocytes,Adipocytes,Dendritic cells,T cells,Granulocytes,NK cells,Nerves,Plasma cells,Smooth muscle,Stroma,Tumor cells,Vasculature/Lymphatics,Other cells
reg001_A_patch.tiff,patch_0,24.032104,22.965052,20.396553,22.410126,23.6586,21.841043,22.569405,22.29826,21.89346,20.840792,19.529137,23.199812,21.895828,21.099192,24.618006
reg001_A_patch.tiff,patch_1,23.339836,21.195322,19.679165,22.10644,22.712322,20.700415,21.300459,20.17195,23.204332,19.411644,18.963337,22.53571,20.997551,22.121239,23.704058
reg001_A_patch.tiff,patch_2,22.415167,20.35908,20.633467,22.406115,22.417202,20.492043,22.138567,19.640194,20.785828,19.254955,16.000917,20.487183,20.744108,21.62609,23.307512
reg001_A_patch.tiff,patch_3,23.525263,21.991198,19.97046,21.845522,22.816198,21.421888,21.900963,20.735933,22.269857,19.961628,19.200993,23.675508,21.423904,22.047346,24.25261
reg001_A_patch.tiff,patch_4,24.531845,21.913198,19.919003,22.72859,22.403172,21.894073,20.588446,21.765127,23.510279,19.768614,20.10234,22.758034,21.689636,20.563597,24.472105
reg001_A_patch.tiff,patch_5,24.297087,19.057968,18.996906,21.328878,20.186022,21.363731,19.280329,20.325792,22.457542,17.328398,18.686876,20.962954,21.896633,19.587837,24.69492
reg001_A_patch.tiff,patch_6,24.407768,19.47734,19.915138,21.987455,21.373075,21.64182,21.316696,20.245468,22.468805,17.991701,18.071115,20.53238,22.045364,21.207066,24.274351
reg001_A_patch.tiff,patch_7,22.324528,18.657373,21.16459,23.090267,20.17928,19.74235,19.595158,20.381508,22.484184,18.999332,17.897455,20.50496,21.152334,23.169333,23.16196
reg001_A_patch.tiff,patch_8,23.253674,18.201256,19.796167,24.391098,20.447742,19.307068,19.74528,19.748184,22.683073,17.906202,18.29141,19.91587,21.281025,22.819624,22.298738
reg001_A_patch.tiff,patch_9,23.553415,19.597692,19.471603,22.975159,22.029394,20.391346,21.1245,19.339169,22.092085,18.238956,17.89723,21.312706,21.22181,21.859274,23.371946
reg001_A_patch.tiff,patch_10,24.300407,17.699163,18.309038,21.491491,18.147509,20.641489,18.03228,19.54515,24.46427,17.163347,23.798487,22.785265,22.07228,20.617277,24.547565
reg001_A_patch.tiff,patch_11,23.81523,18.443293,19.601582,20.727531,19.58914,21.074314,19.769619,19.783203,23.79239,18.217323,19.67527,19.863026,21.410913,20.817213,24.220991
reg001_A_patch.tiff,patch_12,24.95761,18.818659,18.907576,22.458353,19.446115,21.049095,19.187237,20.311958,23.974072,17.190065,20.49199,21.502867,21.450024,19.72003,24.465973
reg001_A_patch.tiff,patch_13,23.205713,18.727463,20.803104,22.546461,20.209927,21.17934,21.081783,20.162144,22.820978,18.69646,18.05454,20.746319,21.71903,21.54134,23.816767
reg001_A_patch.tiff,patch_14,24.498919,19.638405,21.037926,24.534912,21.51881,21.526854,20.483908,21.502314,23.145147,19.069536,18.21308,21.094868,22.613903,21.542538,24.59315
reg001_A_patch.tiff,patch_15,23.083534,18.49451,19.83059,20.763708,21.14256,20.977394,19.760284,20.591091,21.384005,18.724077,16.044964,17.599813,22.474993,20.297598,24.297905
reg001_A_patch.tiff,patch_16,24.167807,17.855242,18.584604,22.831606,18.333673,20.819452,18.341494,19.389215,24.88165,17.223494,23.239647,21.58182,21.35111,21.333649,24.447224
reg001_A_patch.tiff,patch_17,24.656973,17.87881,18.169622,21.936956,18.345304,20.087385,19.383133,18.512321,25.111162,17.08283,23.661009,22.490643,20.891977,21.815437,23.914373
reg001_A_patch.tiff,patch_18,23.984959,18.89857,18.85091,21.405163,20.034262,21.516684,19.60543,20.255869,23.788979,17.395897,20.932163,20.80263,21.941854,20.693663,24.590872
reg001_A_patch.tiff,patch_19,24.814404,19.211168,18.7799,21.858017,19.869053,21.59716,19.316027,20.229002,24.157194,17.505873,22.25463,21.80721,22.182318,20.988855,24.409105
reg001_A_patch.tiff,patch_20,24.589108,19.083673,18.780983,21.762598,20.584179,21.19741,19.864956,20.63169,23.077616,17.69989,19.766094,21.751532,22.275267,21.05181,24.057993
reg001_A_patch.tiff,patch_21,25.01505,19.09511,21.624691,23.206663,21.331085,20.702734,20.64726,20.68193,20.951714,18.599329,16.376028,18.185495,22.52403,20.736174,23.608385
reg001_A_patch.tiff,patch_22,24.752983,19.734968,19.306524,23.305475,20.755133,20.565817,19.965168,19.989292,22.803242,18.608376,20.265347,22.80041,21.32658,21.966112,23.433268
reg001_A_patch.tiff,patch_23,24.921432,18.874289,19.340824,22.376907,20.458075,20.960716,20.079287,19.949417,23.396694,17.722784,21.955702,21.412764,22.297915,21.026783,23.560394
reg001_A_patch.tiff,patch_24,24.15831,18.052782,19.611742,21.614235,18.896544,21.402178,19.632778,19.357918,23.148964,17.44373,20.156458,20.125923,21.321054,20.201813,24.269817
reg001_A_patch.tiff,patch_25,22.261591,16.365139,18.597687,19.925875,18.117123,20.122114,18.291372,18.22496,23.453295,16.27778,20.173914,20.455896,21.181093,21.177263,23.955057
reg001_A_patch.tiff,patch_26,23.997019,18.366879,19.133636,21.466162,19.573462,21.068336,19.959131,19.53744,23.532639,17.3562,20.318512,21.2574,21.585909,20.884905,24.129162
reg001_A_patch.tiff,patch_27,24.553217,18.64454,18.781652,21.651505,19.718779,21.594294,18.934328,19.850725,22.763525,16.596615,19.99107,22.17492,21.690054,19.704634,24.400826
reg001_A_patch.tiff,patch_28,25.28263,19.40862,19.576317,23.168291,21.354843,19.995045,20.58492,20.674053,22.93505,18.285608,19.211351,19.638584,20.85725,20.783964,23.61433
reg001_A_patch.tiff,patch_29,23.798397,18.2135,20.41761,23.796185,19.88042,20.41871,19.994194,19.675417,23.712847,18.743067,19.35984,19.470194,21.62576,22.155289,24.253946
reg001_A_patch.tiff,patch_30,24.229757,17.394287,20.162033,23.524618,19.94033,19.948263,19.247633,20.136816,23.549784,18.243164,19.989462,17.856062,22.081474,22.631363,24.352116
reg001_A_patch.tiff,patch_31,24.606672,17.63382,18.780397,24.014523,18.599447,20.090225,18.412142,19.315216,24.87054,17.449389,22.278233,22.32973,21.22687,21.461601,24.522089
reg001_A_patch.tiff,patch_32,23.880163,18.186722,18.263529,20.637716,19.033745,21.009602,19.4372,19.107222,24.020443,16.850538,22.002645,22.169739,21.523108,20.777935,24.031252
reg001_A_patch.tiff,patch_33,23.234985,18.152292,18.0285,20.235312,19.06712,21.395613,18.270962,18.806692,22.489862,16.479446,20.348946,21.666714,21.058647,20.176,23.663439
reg001_A_patch.tiff,patch_34,21.124765,22.680082,19.444624,14.924375,23.746727,23.748138,19.715862,23.300833,21.097527,20.513443,18.342667,19.3026,23.466661,22.584091,24.736767
reg001_A_patch.tiff,patch_35,21.796568,22.219658,19.971243,15.339038,23.594908,24.197298,19.009295,23.433779,21.288725,20.063404,18.355682,20.20847,24.404528,21.071014,25.424263
reg001_A_patch.tiff,patch_36,23.304863,20.9258,19.970566,19.97402,22.958685,22.040344,20.849558,21.868198,21.945816,19.669315,18.035847,19.372322,22.34869,21.767712,24.976063
reg001_A_patch.tiff,patch_37,23.961779,17.014202,19.601566,24.509453,18.751583,19.372177,18.246357,19.14099,23.671114,17.132166,19.698238,19.595049,21.212128,21.314528,24.097878
reg001_A_patch.tiff,patch_38,24.545206,17.786182,19.060053,25.265451,19.535246,19.769358,18.533497,18.9849,24.372393,17.436842,20.98476,20.49035,21.327055,21.631824,23.564514
reg001_A_patch.tiff,patch_39,22.974922,18.490854,20.15,21.367476,20.40073,21.083326,20.144955,19.019892,22.956827,17.871037,17.718811,18.702518,20.597494,21.68947,23.706438
reg001_A_patch.tiff,patch_40,20.591686,23.971394,20.710938,16.441704,24.360113,23.144112,20.765232,23.301458,18.99165,21.17967,15.597544,18.966242,22.645271,20.484207,25.099985
reg001_A_patch.tiff,patch_41,21.515858,24.519707,19.45184,12.573891,24.493301,24.349829,19.606869,23.803812,18.863062,20.106339,17.26049,19.935637,24.024338,20.992907,25.075363
reg001_A_patch.tiff,patch_42,20.962074,26.27009,21.169352,12.657506,24.744963,26.463396,21.158623,25.613337,18.619429,22.437239,16.30116,18.492954,23.793507,20.626427,25.214054
reg001_A_patch.tiff,patch_43,20.463583,21.077036,19.554281,15.711846,23.018694,22.549564,19.364876,22.251041,21.096533,19.974644,16.30578,17.239471,22.905716,21.756823,24.895132
reg001_A_patch.tiff,patch_44,23.048851,19.457369,20.312292,21.34838,22.132935,20.782785,20.673416,20.000465,20.967936,19.314629,17.078344,19.040995,21.580698,21.358501,24.239948
reg001_A_patch.tiff,patch_45,22.824083,20.814787,22.206217,22.382929,21.608595,21.41551,21.114626,20.022043,22.12636,20.127928,18.012371,20.583487,21.242195,22.06553,24.188055
reg001_B_cell.tiff,cell_0,22.500387,18.534906,20.585253,24.779858,19.567642,19.529844,18.80623,20.667486,23.872322,19.843767,17.393387,20.054996,21.731506,22.478722,24.36693
reg001_B_cell.tiff,cell_1,22.956226,20.454645,21.602373,24.254684,21.376303,21.024233,20.441334,21.416218,23.599718,20.751598,17.104036,20.468315,21.370317,22.13344,24.53377
reg001_B_cell.tiff,cell_2,23.704538,20.05379,20.085413,24.609333,21.139668,21.281258,19.737265,21.678335,24.065023,20.071062,16.595274,20.835852,21.540842,20.563158,24.787748
reg001_B_cell.tiff,cell_4,22.717085,19.634415,20.613214,23.62066,20.548164,20.531912,19.84394,20.85863,23.323828,20.221382,16.689568,20.562073,21.123152,22.065647,24.396511
reg001_B_cell.tiff,cell_5,24.36036,20.06787,19.819107,24.173496,21.040236,20.462685,19.859789,21.45174,24.314344,19.811995,20.012905,21.027483,21.652502,21.12029,24.411566
reg001_B_cell.tiff,cell_6,23.532639,22.86389,22.284945,23.894823,23.360924,22.871632,22.356024,21.898245,24.005226,21.84342,21.378292,23.31519,23.23598,22.550613,24.89929
reg001_B_cell.tiff,cell_7,24.67888,19.680454,18.950144,24.526545,21.022026,20.124668,19.40417,20.527462,24.146025,19.350254,18.767473,22.47102,20.874239,20.732687,23.950727
reg001_B_cell.tiff,cell_8,24.30802,19.377964,18.409117,22.790466,20.98776,20.398718,19.919552,18.964869,23.422354,18.821123,18.904707,22.777914,21.230522,20.841383,23.696772
reg001_B_cell.tiff,cell_10,23.434357,19.275663,20.20151,23.609867,21.152077,20.761127,19.53581,21.167791,23.369774,20.228767,16.163334,20.515163,21.604866,21.472395,24.758724
reg001_B_cell.tiff,cell_11,22.798473,20.679485,20.037447,23.072868,22.066261,22.258415,20.759815,20.64215,23.284746,20.3457,19.299973,20.39761,22.045572,21.850859,23.400322
reg001_B_cell.tiff,cell_12,24.118599,19.926386,18.971361,22.906822,21.922176,21.17381,20.442404,20.314142,22.30474,19.792366,16.981468,20.969458,22.199419,20.233942,23.894176
reg001_B_cell.tiff,cell_13,23.454712,19.663157,17.84956,23.520786,20.979393,21.180372,19.414759,19.622559,24.585955,18.537651,19.69142,23.225294,21.737764,20.62399,23.97918
reg001_B_cell.tiff,cell_14,23.904613,22.533144,20.347977,23.032822,22.774275,21.877268,21.586153,22.56044,23.200022,21.449846,19.190516,23.751324,22.06852,21.262493,25.335325
reg001_B_cell.tiff,cell_15,24.24043,22.180428,20.953854,23.778803,23.463846,23.087269,22.04988,22.024105,23.606598,21.176685,21.082668,22.200233,23.137089,22.378588,24.156357
reg001_B_cell.tiff,cell_16,23.913784,21.706915,20.712273,23.500273,22.522446,23.096619,21.735514,21.25072,24.458094,21.362974,21.842545,22.538485,23.029236,22.848639,24.298042
reg001_B_cell.tiff,cell_17,22.297682,20.654459,20.218138,22.613245,21.724792,22.521633,20.154406,20.869877,23.610277,20.26813,19.59533,20.410204,22.11214,22.019373,23.717964
reg001_B_cell.tiff,cell_18,23.837122,18.926865,18.403645,23.4629,20.385363,21.119444,18.909647,19.715298,25.493216,18.649427,21.914463,21.302013,21.547373,20.991987,24.152952
reg001_B_cell.tiff,cell_19,23.911236,19.791967,18.588745,23.662025,20.865253,21.212181,19.640923,20.230068,24.37532,18.801178,20.128605,22.933239,22.25449,21.181517,24.251764
reg001_B_cell.tiff,cell_20,23.719156,21.647535,18.592451,22.668167,21.561579,20.978615,19.897055,20.185286,24.048607,19.98765,20.19468,24.555155,21.544697,20.267939,24.973236
reg001_B_cell.tiff,cell_21,24.385757,21.624256,19.488861,22.700478,22.22048,21.052923,20.870867,21.531733,22.85463,20.593512,17.368307,23.06328,21.331293,20.680573,24.556782
reg001_B_cell.tiff,cell_22,23.576054,20.187878,20.439983,24.669086,22.05278,21.103548,20.167702,21.33409,23.74265,19.710474,17.228449,21.027725,22.690905,21.792786,24.542418
reg001_B_cell.tiff,cell_23,23.891697,19.07774,18.739958,24.242004,20.82084,21.618433,19.55455,20.099495,25.690512,18.899067,21.882067,21.231258,22.37849,22.993279,24.043509
reg001_B_cell.tiff,cell_24,23.473974,18.366335,18.048946,23.136017,19.204449,20.66476,18.746607,19.856014,25.437944,18.280443,22.758297,21.848223,21.74619,21.48223,24.159798
reg001_B_cell.tiff,cell_25,23.81684,19.174706,17.525223,23.41246,20.052448,20.962704,18.641396,19.566864,25.158852,18.25515,21.836597,23.984995,22.06561,21.329899,24.238138
reg001_B_cell.tiff,cell_26,22.849018,19.451557,21.180262,23.826868,20.985344,19.943628,20.445478,20.797056,23.219646,20.309256,16.995052,20.29485,21.461449,22.237175,24.474907
reg001_B_cell.tiff,cell_27,24.393631,21.322254,21.061642,25.073069,22.071827,21.334284,20.84366,22.60867,24.890259,21.262705,18.759388,21.102968,21.806902,21.255054,24.578415
reg001_B_cell.tiff,cell_28,23.981907,19.091906,18.235678,24.073204,19.808403,21.094418,18.8748,20.216282,25.824747,18.526258,22.156637,22.765615,22.0978,21.352654,24.337708
reg001_B_cell.tiff,cell_29,22.021479,17.244246,17.451628,20.581343,18.289232,19.810953,17.641764,18.473873,24.427994,17.87665,21.995106,20.475456,20.889757,21.136374,23.39155
reg001_B_cell.tiff,cell_30,22.39252,16.862003,17.88719,20.396366,18.065214,19.658146,17.699549,18.609488,24.480482,18.45414,22.308693,20.48802,21.145155,21.386438,23.474056
reg001_B_cell.tiff,cell_31,21.861834,17.622046,18.533787,21.636381,19.653008,18.337584,18.942284,17.437357,22.621857,18.385761,17.663078,19.371124,20.628166,22.155214,23.483902
