source_image,spot_id,A sample of Background cells,A sample of B cells,A sample of Macrophages/Monocytes cells,A sample of Adipocytes cells,A sample of Dendritic cells,A sample of T cells,A sample of Granulocytes cells,A sample of NK cells,A sample of Nerves cells,A sample of Plasma cells,A sample of Smooth muscle cells,A sample of Stroma cells,A sample of Tumor cells,A sample of Vasculature/Lymphatics cells,A sample of Other cells
reg001_A_patch.tiff,patch_0,21.431385,21.278376,19.148087,22.572594,21.415096,20.83995,20.420065,21.594343,21.002619,19.256437,18.513687,22.363014,20.701189,20.431501,23.43777
reg001_A_patch.tiff,patch_1,20.292173,19.401377,17.736889,20.87368,19.6287,19.39961,18.473526,18.6628,20.508398,17.327776,17.43055,21.279963,19.504604,20.998028,22.345373
reg001_A_patch.tiff,patch_2,20.804087,19.17137,19.568062,21.253149,19.8122,19.978045,20.335192,18.643673,20.366621,17.972795,15.929392,21.51081,19.711948,21.637974,23.06461
reg001_A_patch.tiff,patch_3,21.236,20.714739,18.734627,21.361547,20.339758,20.603577,19.626745,20.125456,20.554434,18.553133,18.118258,22.464085,20.065943,21.268328,23.205597
reg001_A_patch.tiff,patch_4,20.806204,20.075777,18.21725,22.226435,20.093327,20.640741,18.150354,20.462198,21.255444,17.85854,18.580465,21.82419,20.384485,19.967539,22.85584
reg001_A_patch.tiff,patch_5,21.951199,17.590935,17.375528,20.08195,17.010353,19.965092,17.203943,18.588766,20.986685,15.512257,18.09603,21.351225,20.956211,19.183348,24.105928
reg001_A_patch.tiff,patch_6,22.656069,18.140915,18.646643,20.641386,18.608797,20.479265,19.460716,18.635021,21.431969,16.334019,18.041292,21.189411,20.861597,21.082073,24.05124
reg001_A_patch.tiff,patch_7,19.842804,17.725935,19.289331,22.186905,17.66632,18.953543,18.971638,18.239023,21.659279,17.875727,18.183985,21.665112,19.783854,22.836178,23.168085
reg001_A_patch.tiff,patch_8,19.80119,17.420856,18.207544,23.137209,18.301931,18.818108,18.209013,18.120562,20.892445,16.926676,17.81335,21.00827,20.011034,22.20401,22.333548
reg001_A_patch.tiff,patch_9,21.099272,18.515667,18.116333,21.61027,19.5514,19.963802,19.061937,18.230068,21.042398,16.824066,17.459162,21.691593,20.253593,21.59508,23.045485
reg001_A_patch.tiff,patch_10,21.764103,15.825157,16.016733,19.776424,15.378298,19.140879,16.458506,17.252647,21.89714,15.670262,22.206863,22.6329,20.98492,19.809887,23.811543
reg001_A_patch.tiff,patch_11,21.465595,16.333727,17.326374,18.726482,15.909365,19.170782,17.891214,17.188532,21.553923,15.880815,18.821472,20.519827,20.129196,19.9302,23.560442
reg001_A_patch.tiff,patch_12,22.239344,17.047298,16.847387,20.961126,16.449362,19.615269,17.078342,18.072796,21.229548,14.994327,19.279335,21.692436,20.22529,19.181076,23.744251
reg001_A_patch.tiff,patch_13,20.535957,17.366718,18.37527,20.135687,16.81134,19.117188,18.643942,18.28598,21.151209,16.659395,17.287546,20.459776,20.045443,20.476635,22.906675
reg001_A_patch.tiff,patch_14,21.849073,18.683968,19.64843,23.730026,18.97309,20.269209,18.769209,19.92734,22.735346,17.709942,18.59272,22.413727,21.551266,21.403053,24.345303
reg001_A_patch.tiff,patch_15,21.513756,16.549898,18.25758,19.124887,17.682455,19.231491,17.939367,19.005852,21.262602,16.940083,16.500313,19.656857,21.50563,20.4419,24.017
reg001_A_patch.tiff,patch_16,22.46465,16.015299,16.388786,20.681004,14.913686,18.870785,17.07636,16.692314,22.261972,15.230991,21.669556,22.182724,20.142168,20.223873,23.788914
reg001_A_patch.tiff,patch_17,21.971884,15.721272,15.720288,19.50983,14.740099,18.187319,17.283989,15.746901,21.43837,14.805165,21.679474,21.80845,19.335478,20.072662,22.762903
reg001_A_patch.tiff,patch_18,22.266964,17.25621,16.755198,19.661255,17.115072,19.864077,17.654491,18.344381,21.805382,15.467711,20.097479,21.279388,20.813179,20.099337,24.24658
reg001_A_patch.tiff,patch_19,22.501232,17.446278,16.761839,20.320084,17.26408,19.983028,17.061024,18.05458,21.900623,15.579059,20.965715,21.82398,20.91491,19.886507,23.74686
reg001_A_patch.tiff,patch_20,21.825693,18.263811,17.246634,20.63189,18.418463,20.20543,17.599506,19.064005,21.636835,16.289614,19.117737,22.16575,21.153595,20.641056,23.859407
reg001_A_patch.tiff,patch_21,22.581861,17.851833,20.71942,23.219788,18.92174,20.134865,19.848438,18.992315,22.551992,17.486246,18.283943,21.240942,21.972458,21.69372,23.755968
reg001_A_patch.tiff,patch_22,20.108282,17.915514,16.90369,21.341698,17.990904,19.300589,17.213375,18.075254,19.717722,16.712038,18.070295,21.1093,19.872747,20.584341,21.88694
reg001_A_patch.tiff,patch_23,22.600645,17.368515,17.452024,20.91532,17.997305,19.445593,18.328747,17.989319,21.39945,16.13985,20.768642,21.791935,21.000795,20.54575,23.189417
reg001_A_patch.tiff,patch_24,22.340986,16.150394,17.441156,19.567108,15.285421,19.124138,17.911417,17.266102,21.15451,15.167547,19.28491,20.590113,19.83014,19.273573,23.311243
reg001_A_patch.tiff,patch_25,20.71736,14.367571,16.075266,17.39573,14.2621565,18.04462,16.634583,15.446176,20.70913,14.195705,19.17866,20.530684,19.802017,19.861189,23.266537
