external_gene_name,ensembl_gene_id
MT-TF,ENSG00000210049
MT-RNR1,ENSG00000211459
MT-TV,ENSG00000210077
MT-RNR2,ENSG00000210082
MT-TL1,ENSG00000209082
MT-ND1,ENSG00000198888
MT-TI,ENSG00000210100
MT-TQ,ENSG00000210107
MT-TM,ENSG00000210112
MT-ND2,ENSG00000198763
MT-TW,ENSG00000210117
MT-TA,ENSG00000210127
MT-TN,ENSG00000210135
MT-TC,ENSG00000210140
MT-TY,ENSG00000210144
MT-CO1,ENSG00000198804
MT-TS1,ENSG00000210151
MT-TD,ENSG00000210154
MT-CO2,ENSG00000198712
MT-TK,ENSG00000210156
MT-ATP8,ENSG00000228253
MT-ATP6,ENSG00000198899
MT-CO3,ENSG00000198938
MT-TG,ENSG00000210164
MT-ND3,ENSG00000198840
MT-TR,ENSG00000210174
MT-ND4L,ENSG00000212907
MT-ND4,ENSG00000198886
MT-TH,ENSG00000210176
MT-TS2,ENSG00000210184
MT-TL2,ENSG00000210191
MT-ND5,ENSG00000198786
MT-ND6,ENSG00000198695
MT-TE,ENSG00000210194
MT-CYB,ENSG00000198727
MT-TT,ENSG00000210195
MT-TP,ENSG00000210196
,ENSG00000299200
5S_rRNA,ENSG00000278457
U6,ENSG00000278625
5_8S_rRNA,ENSG00000278294
RNA5-8SN5,ENSG00000274917
Y_RNA,ENSG00000277428
U1,ENSG00000275987
MAFIP,ENSG00000274847
U2,ENSG00000276711
RNA5-8SN4,ENSG00000276700
RNU1-62P,ENSG00000281822
MTCO3P47,ENSG00000280505
RNA5SP136,ENSG00000280775
RYBP,ENSG00000281766
GCGR,ENSG00000288269
RPL23AP45,ENSG00000291360
MCRIP1,ENSG00000288213
RNU6-409P,ENSG00000291372
ACR,ENSG00000291368
C8orf33,ENSG00000291362
SNRPA1P2,ENSG00000291370
LINC01784,ENSG00000282162
SHANK3,ENSG00000292254
PRAMEF11,ENSG00000281934
PRAMEF30P,ENSG00000282116
HNRNPCL1,ENSG00000282175
PRAMEF2,ENSG00000282817
PRAMEF4,ENSG00000282584
PRAMEF10,ENSG00000282663
PRAMEF7,ENSG00000279195
RNU6-1072P,ENSG00000282338
PRAMEF29P,ENSG00000282549
PRAMEF6,ENSG00000282119
PPP1R27,ENSG00000288186
PRAMEF28P,ENSG00000282791
PRAMEF27,ENSG00000282437
HNRNPCL3,ENSG00000282559
PRAMEF25,ENSG00000282566
PRAMEF34P,ENSG00000282258
PRAMEF35P,ENSG00000282562
LINC02688,ENSG00000291364
HNRNPCL2,ENSG00000282530
MUC5AC,ENSG00000291363
PRAMEF36P,ENSG00000282468
MUC2,ENSG00000293532
PRAMEF26,ENSG00000281987
HNRNPCL4,ENSG00000282095
PRAMEF9,ENSG00000282298
PRAMEF13,ENSG00000282741
PRAMEF18,ENSG00000282212
PRAMEF31P,ENSG00000282289
PRAMEF5,ENSG00000282424
PRAMEF32P,ENSG00000282216
RNU6-771P,ENSG00000282288
PRAMEF8,ENSG00000282583
PRAMEF33,ENSG00000282125
PRAMEF22,ENSG00000293551
CNTNAP3C,ENSG00000291365
RN7SL462P,ENSG00000291366
OR9G1,ENSG00000261958
OR9G9,ENSG00000262191
OR9G3P,ENSG00000262268
OR9G4,ENSG00000262647
OR9G2P,ENSG00000281777
OR5G1P,ENSG00000281313
BCL2L14,ENSG00000281449
OR5G4P,ENSG00000281279
OR5G5P,ENSG00000262535
OR5G3,ENSG00000281107
LINC02735,ENSG00000281839
PTMAP9,ENSG00000281442
MIR1244-4,ENSG00000283344
LRP6,ENSG00000281324
SYT15B,ENSG00000288175
NPY4R2,ENSG00000288157
FAM25C,ENSG00000288481
AGAP12P,ENSG00000288424
RNA5SP315,ENSG00000288201
BMS1P7,ENSG00000288196
TOLLIP,ENSG00000291426
TOLLIP-DT,ENSG00000291427
LINC02689,ENSG00000291430
BRSK2,ENSG00000291428
RPL21P100,ENSG00000280475
RNU6-545P,ENSG00000206783
RNU6-318P,ENSG00000207477
MANSC1,ENSG00000281818
DUSP8,ENSG00000291431
KRTAP5-AS1,ENSG00000291432
RPL23AP66,ENSG00000281051
KRTAP5-1,ENSG00000291433
LOH12CR2,ENSG00000281234
KRTAP5-2,ENSG00000291434
KRTAP5-3,ENSG00000291435
KRTAP5-4,ENSG00000291440
KRTAP5-5,ENSG00000291443
BORCS5,ENSG00000280689
FAM99A,ENSG00000291437
FAM99B,ENSG00000291438
LINC02708,ENSG00000291439
MOB2,ENSG00000291442
DUSP16,ENSG00000280962
HMX1,ENSG00000288204
RBMY3AP,ENSG00000291444
CDY3P,ENSG00000291445
TSPY25P,ENSG00000291446
USP9YP22,ENSG00000291447
TSPY16P,ENSG00000291448
USP9YP4,ENSG00000291449
ELOCP4,ENSG00000291450
RBMY1A3P,ENSG00000291451
LINC03015,ENSG00000288472
TTTY20,ENSG00000291453
TSPY8,ENSG00000291455
FAM197Y7,ENSG00000291456
TSPY4,ENSG00000291458
TSPY9,ENSG00000291459
FAM197Y2,ENSG00000291460
FAM197Y4,ENSG00000291461
FAM197Y8,ENSG00000291454
LINC03014,ENSG00000288417
FAM20C,ENSG00000288499
SERTAD4-AS1,ENSG00000280963
SERTAD4,ENSG00000281230
OR4C12,ENSG00000284255
OR4C48P,ENSG00000284278
ST13P19,ENSG00000281067
OR4C49P,ENSG00000284123
OR4C45,ENSG00000292249
HHAT,ENSG00000280680
GRK1,ENSG00000288263
LINC00552,ENSG00000288305
RNU5A-8P,ENSG00000281499
BPNT2P1,ENSG00000280937
ARHGEF19,ENSG00000291381
ANO7L1,ENSG00000291404
CPLANE2,ENSG00000291382
MT1XP1,ENSG00000291377
FBXO42,ENSG00000291375
SZRD1,ENSG00000291379
RPL22P3,ENSG00000291374
SPATA21,ENSG00000291401
NECAP2,ENSG00000291380
LINC01772,ENSG00000291388
CROCCP3,ENSG00000291402
RNU1-1,ENSG00000291389
LINC01783,ENSG00000291392
RNU1-6P,ENSG00000291393
PDE4DIPP8,ENSG00000291394
RNU1-2,ENSG00000291385
LINC03126,ENSG00000291400
RNU1-5P,ENSG00000291383
ELOCP5,ENSG00000285019
CDY10P,ENSG00000285196
EIF1AXP1,ENSG00000291398
RNU1-3,ENSG00000291396
RNU1-4,ENSG00000291399
PADI2,ENSG00000291387
USP9YP3,ENSG00000285308
USP9YP8,ENSG00000285028
CROCCP4,ENSG00000291403
CDY11P,ENSG00000285455
OFD1P16Y,ENSG00000285477
LINC01300,ENSG00000291463
GPR20,ENSG00000291465
ASTILCS,ENSG00000291466
PTP4A3,ENSG00000291470
HNRNPA1P38,ENSG00000291469
C8orf90,ENSG00000291474
MROH5,ENSG00000291473
NBPF1,ENSG00000292225
RPL14P5,ENSG00000292328
DHRSX-IT1,ENSG00000292337
DHRSX,ENSG00000292338
RNU6-1004P,ENSG00000285481
ORAI1,ENSG00000293604
LINC00685,ENSG00000292342
MIR6089,ENSG00000292346
LINC00102,ENSG00000292347
Metazoa_SRP,ENSG00000292350
FABP5P13,ENSG00000292352
KRT18P53,ENSG00000292353
SHOX,ENSG00000292354
MIR3690,ENSG00000292355
RNA5SP498,ENSG00000292356
CD99P1,ENSG00000292361
CRLF2,ENSG00000292363
ASMT,ENSG00000292336
ASMTL-AS1,ENSG00000292331
MIR4740,ENSG00000291414
MIR3186,ENSG00000291415
LINC01971,ENSG00000291417
ACTG1,ENSG00000291420
LINC00106,ENSG00000292341
LINC02968,ENSG00000310540
BAHCC1,ENSG00000291421
LINC03048,ENSG00000291425
LINC03112,ENSG00000292360
ZBED1,ENSG00000292345
PPP2R3B,ENSG00000292327
RPL21P63,ENSG00000285209
GCNT2P1,ENSG00000284885
C6orf52,ENSG00000285312
CD99,ENSG00000292348
PAK1IP1,ENSG00000285226
TMEM14C,ENSG00000284936
PLCXD1,ENSG00000292344
